word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
curious,2,,3.900e-05,42,1780,3.810e-05,3.621e-05,1.077
custom,1,,5.440e-05,42,1780,5.173e-05,4.349e-05,1.251
damage,1,,2.624e-05,42,1780,1.750e-05,2.798e-05,0.938
dance,2,,1.123e-05,41,1780,1.343e-05,1.339e-05,0.839
dances,1,,2.577e-06,40,1780,2.868e-06,3.034e-06,0.849
dangerous,1,,6.286e-05,42,1780,5.260e-05,4.276e-05,1.470
dangers,1,,2.385e-05,42,1780,2.204e-05,1.562e-05,1.527
day,1,,7.668e-04,42,1780,7.343e-04,7.330e-04,1.046
days,1,,2.864e-04,42,1780,2.919e-04,3.044e-04,0.941
dead,1,,9.503e-05,42,1780,1.129e-04,1.072e-04,0.886
dearborne's,1,proper,0.000e+00,0,,0.000e+00,0.000e+00,
death,1,,3.328e-04,42,1780,3.467e-04,2.750e-04,1.210
december,1,proper,9.244e-05,42,1780,7.859e-05,1.131e-04,0.817
deck,1,,1.125e-05,42,1780,1.797e-05,1.820e-05,0.618
deemed,1,,6.291e-05,42,1780,5.681e-05,4.609e-05,1.365
degrees,4,,6.448e-05,42,1780,4.653e-05,3.936e-05,1.638
denominated,1,,1.407e-05,41,1780,1.356e-05,4.880e-06,2.883
deposit,1,,1.432e-05,42,1780,1.466e-05,3.750e-05,0.382
depredations,1,,8.411e-06,42,1780,5.896e-06,5.157e-06,1.631
descend,1,,1.732e-05,42,1780,1.821e-05,1.107e-05,1.565
described,15,,7.852e-05,42,1780,8.616e-05,1.456e-04,0.539
description,17,,8.293e-05,42,1780,9.147e-05,7.907e-05,1.049
despatched,1,,4.335e-06,39,1780,1.272e-05,5.269e-06,0.823
detailed,1,,8.535e-06,42,1780,1.348e-05,1.992e-05,0.428
different,1,,2.938e-04,42,1780,2.901e-04,2.420e-04,1.214
difficulties,4,,4.483e-05,42,1780,4.926e-05,3.730e-05,1.202
difficulty,1,,7.529e-05,42,1780,8.531e-05,7.116e-05,1.058
directed,1,,1.709e-04,42,1780,1.139e-04,8.659e-05,1.974
disappointment,1,,1.416e-05,42,1780,1.497e-05,1.093e-05,1.295
disciplining,1,,1.178e-06,38,1780,8.737e-07,5.227e-07,2.254
discover,1,,4.366e-05,42,1780,3.893e-05,2.451e-05,1.781
discovered,2,,8.409e-05,42,1780,7.794e-05,6.273e-05,1.341
discovering,3,,8.859e-06,42,1780,7.682e-06,5.287e-06,1.676
distinction,1,,5.043e-05,42,1780,5.612e-05,4.150e-05,1.215
distress,2,,5.528e-05,42,1780,4.292e-05,2.032e-05,2.721
distributed,1,,2.004e-05,42,1780,2.300e-05,2.598e-05,0.771
divided,1,,8.526e-05,42,1780,7.648e-05,6.741e-05,1.265
divides,1,,7.348e-06,42,1780,6.338e-06,5.681e-06,1.293
do,1,,8.530e-04,42,1780,1.032e-03,1.106e-03,0.771
dog,1,proper,2.231e-05,42,1780,2.502e-05,3.160e-05,0.706
dogs,1,,1.473e-05,42,1780,1.559e-05,1.905e-05,0.773
door,1,,5.428e-05,42,1780,8.059e-05,9.591e-05,0.566
down,2,,2.904e-04,42,1780,3.604e-04,4.089e-04,0.710
drawing,1,,3.224e-05,42,1780,4.035e-05,5.444e-05,0.592
dress,4,,3.195e-05,42,1780,3.910e-05,3.839e-05,0.832
drewyer,1,proper,9.830e-08,5,1806,5.514e-08,1.568e-08,6.267
during,2,,3.203e-04,42,1780,3.597e-04,4.679e-04,0.685
each,2,,5.437e-04,42,1780,5.388e-04,6.330e-04,0.859
early,2,,1.174e-04,42,1780,1.576e-04,1.849e-04,0.635
ease,1,,3.813e-05,42,1780,3.372e-05,2.603e-05,1.465
eastern,1,,4.900e-05,42,1780,5.247e-05,6.251e-05,0.784
easy,1,,7.478e-05,42,1780,7.157e-05,6.655e-05,1.124
economy,1,,2.173e-05,42,1780,3.339e-05,3.281e-05,0.662
elk,2,,6.282e-06,41,1780,2.443e-06,3.964e-06,1.585
embark,2,,6.164e-06,42,1780,5.346e-06,3.072e-06,2.007
embarrassments,1,,6.731e-06,42,1780,6.583e-06,2.953e-06,2.279
employed,3,,1.506e-04,42,1780,1.499e-04,1.226e-04,1.228
encamp,5,,1.439e-06,37,1780,1.174e-06,8.401e-07,1.713
encamped,1,,7.773e-06,42,1780,7.464e-06,6.395e-06,1.215
encampment,1,,4.230e-06,40,1780,5.730e-06,5.961e-06,0.710
encounter,2,,1.062e-05,42,1780,1.326e-05,9.265e-06,1.147
encountered,1,,5.819e-06,42,1780,1.043e-05,1.115e-05,0.522
engaged,1,,8.435e-05,42,1780,9.277e-05,8.781e-05,0.961
enlisted,1,,5.452e-06,42,1780,6.234e-06,1.862e-05,0.293
enter,1,,1.048e-04,42,1780,9.682e-05,8.184e-05,1.280
enterprize,1,,8.814e-06,42,1780,4.590e-06,4.738e-07,18.604
enters,1,,1.490e-05,42,1780,1.728e-05,1.725e-05,0.864
entertained,1,,3.602e-05,42,1780,3.492e-05,2.023e-05,1.781
entitled,1,,2.139e-04,42,1780,1.929e-04,1.833e-04,1.167
enumeration,1,,8.297e-06,41,1780,6.924e-06,5.711e-06,1.453
equally,1,,1.100e-04,42,1780,1.018e-04,7.126e-05,1.543
escape,5,,5.210e-05,42,1780,5.868e-05,5.086e-05,1.024
established,1,,1.321e-04,42,1780,1.349e-04,1.227e-04,1.077
etc,10,,5.728e-06,42,1780,2.594e-06,2.513e-05,0.228
every,1,,1.063e-03,42,1780,9.820e-04,6.860e-04,1.549
except,2,,1.643e-04,42,1780,1.582e-04,1.882e-04,0.873
excessively,1,,3.452e-06,41,1780,4.246e-06,3.969e-06,0.870
