position,B1_number,B1_gillogly_table1,B1_nara_straight,B1_pamphlet_encoder_key,B1_pamphlet_straight,B3_number,B3_gillogly_table1,B3_nara_straight,B3_pamphlet_encoder_key,B3_pamphlet_straight
322,302,O,O,O,H,175,M,M,S,S
323,294,A,A,A,T,90,B,B,B,B
324,875,A,T,T,T,56,O,O,O,O
325,78,S,S,S,S,203,E,E,A,A
326,14,T,T,T,T,19,W,W,W,W
327,23,W,W,W,W,177,T,T,L,L
328,111,T,T,T,T,183,P,P,H,H
329,109,T,T,T,T,206,T,T,S,S
330,62,S,S,S,S,157,L,L,G,G
331,31,O,O,O,O,200,A,A,C,C
332,501,I,I,F,P,218,T,T,T,T
333,823,T,F,D,F,260,D,D,D,T
334,216,S,S,A,A,291,C,C,C,W
335,280,S,S,S,P,305,K,K,K,P
336,34,T,T,T,T,618,A,O,P,O
337,24,A,A,A,A,951,A,A,E,F
338,150,A,A,A,A,320,D,D,D,I
339,1000,O,O,H,S,18,B,B,B,B
340,162,P,P,S,S,124,C,C,C,C
341,286,I,I,I,S,78,S,S,S,S
342,19,W,W,W,W,65,C,C,C,C
343,21,C,C,C,C,19,W,W,W,W
344,17,P,P,P,P,32,T,T,T,T
345,340,C,C,C,A,124,C,C,C,C
346,19,W,W,W,W,48,G,G,G,G
347,242,S,S,T,T,53,R,R,R,R
348,31,O,O,O,O,57,O,O,O,O
349,86,T,T,T,T,84,C,C,C,C
350,234,T,T,L,L,96,R,R,R,R
351,140,I,I,I,I,207,M,M,T,T
352,607,O,P,N,P,244,E,E,O,O
353,115,I,I,I,I,66,W,W,W,W
354,33,E,E,E,E,82,M,M,M,M
355,191,S,S,E,E,119,T,T,T,T
356,67,I,I,I,I,71,S,S,S,S
357,104,T,T,T,T,11,F,F,F,F
358,86,T,T,T,T,86,T,T,T,T
359,52,D,D,D,D,77,B,B,B,B
360,88,A,A,A,A,213,W,W,S,S
361,16,T,T,T,T,54,T,T,T,T
362,80,T,T,T,T,82,M,M,M,M
363,121,P,P,P,P,316,U,U,U,A
364,67,I,I,I,I,245,A,A,E,E
365,95,U,U,U,I,303,T,T,T,O
366,122,F,F,F,F,86,T,T,T,T
367,216,S,S,A,A,97,T,T,T,T
368,548,F,L,E,L,106,O,O,O,O
369,96,R,R,R,R,212,S,S,T,T
370,11,F,F,F,F,18,B,B,B,B
371,201,A,A,A,A,37,E,E,E,E
372,77,B,B,B,B,15,D,D,D,D
373,364,P,P,P,T,81,A,A,A,A
374,218,T,T,T,T,89,E,E,E,E
375,65,C,C,C,C,16,T,T,T,T
376,667,C,H,T,H,7,E,E,E,E
377,890,O,A,T,A,81,A,A,A,A
378,236,A,A,O,O,39,T,T,T,T
379,154,I,I,I,I,96,R,R,R,R
380,211,T,T,D,D,14,T,T,T,T
381,10,N,N,N,N,43,O,O,O,O
382,98,A,A,A,A,216,S,S,A,A
383,34,T,T,T,T,118,D,D,D,D
384,119,T,T,T,T,29,T,T,T,T
385,56,O,O,O,O,55,T,T,T,T
386,216,S,S,A,A,109,T,T,T,T
387,119,T,T,T,T,136,O,O,O,O
388,71,S,S,S,S,172,T,T,T,T
389,218,T,T,T,T,213,W,W,S,S
390,1164,F,F,I,P,64,T,T,T,T
391,1496,?,?,?,?,8,I,I,I,I
392,1817,?,?,?,?,227,T,T,W,W
393,51,A,A,A,A,304,P,P,P,T
394,39,T,T,T,T,611,H,H,H,H
395,210,D,D,N,N,221,B,B,T,T
396,36,A,A,A,A,364,P,P,P,T
397,3,T,T,T,T,819,L,V,O,V
398,19,W,W,W,W,375,O,O,O,T
399,540,T,O,N,O,128,T,T,T,T
400,232,A,A,W,W,296,F,F,F,T
401,22,T,T,T,T,1,W,W,W,W
402,141,T,T,T,T,18,B,B,B,B
403,617,O,N,O,N,53,R,R,R,R
404,84,C,C,C,C,76,T,T,T,T
405,290,W,W,W,N,10,N,N,N,N
406,80,T,T,T,T,15,D,D,D,D
407,46,O,O,O,O,23,W,W,W,W
408,207,M,M,T,T,19,W,W,W,W
409,411,P,P,P,T,71,S,S,S,S
410,150,A,A,A,A,84,C,C,C,C
411,29,T,T,T,T,120,J,J,J,J
412,38,S,S,S,S,134,B,B,B,B
413,46,O,O,O,O,66,W,W,W,W
414,172,T,T,T,T,73,H,H,H,H
415,85,E,E,E,E,89,E,E,E,E
416,194,C,C,B,B,96,R,R,R,R
417,39,T,T,T,T,230,B,B,A,A
418,261,T,T,T,D,48,G,G,G,G
419,543,T,F,R,F,77,B,B,B,B
420,897,O,W,A,W,26,T,T,T,T
421,624,T,O,H,O,101,L,L,L,L
422,18,B,B,B,B,127,G,G,G,G
423,212,S,S,T,T,936,H,H,E,T
424,416,O,O,O,R,218,T,T,T,T
425,127,G,G,G,G,439,U,U,U,P
426,931,C,C,T,F,178,E,E,T,T
427,19,W,W,W,W,171,T,T,A,A
428,4,C,C,C,C,61,T,T,T,T
429,63,D,D,D,D,226,W,W,T,T
430,96,R,R,R,R,313,R,R,R,O
431,12,O,O,O,O,215,A,A,E,E
432,101,L,L,L,L,102,L,L,L,L
433,418,I,I,I,R,18,B,B,B,B
434,16,T,T,T,T,167,I,I,P,P
435,140,I,I,I,I,262,T,T,T,T
436,230,B,B,A,A,114,A,A,A,A
437,460,H,H,H,W,218,T,T,T,T
438,538,P,T,L,T,66,W,W,W,W
439,19,W,W,W,W,59,R,R,R,R
440,27,A,A,A,A,48,G,G,G,G
