word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
encroachments,1,,6.203e-06,42,1780,5.077e-06,3.086e-06,2.010
end,2,,2.640e-04,42,1780,2.375e-04,2.737e-04,0.965
ended,1,,2.102e-05,42,1780,2.061e-05,2.646e-05,0.794
endless,1,,1.332e-05,42,1780,1.855e-05,1.263e-05,1.055
enemy,1,,2.077e-04,42,1780,1.309e-04,1.107e-04,1.875
england,1,proper,2.792e-04,42,1780,2.667e-04,2.411e-04,1.158
english,2,proper,1.995e-04,42,1780,2.031e-04,2.205e-04,0.905
enjoyment,1,,2.790e-05,42,1780,3.368e-05,2.142e-05,1.302
enlivening,1,,1.187e-06,39,1781,1.015e-06,5.220e-07,2.274
enough,1,,1.093e-04,42,1780,1.378e-04,1.735e-04,0.630
enterprise,1,,2.410e-05,42,1780,3.605e-05,3.254e-05,0.741
enthusiasm,1,,1.427e-05,42,1780,2.016e-05,1.962e-05,0.728
enveloped,1,,2.745e-06,38,1782,5.212e-06,3.830e-06,0.717
equal,1,,1.876e-04,42,1780,1.669e-04,1.315e-04,1.427
erected,4,,4.768e-05,42,1780,4.403e-05,4.009e-05,1.189
erection,2,,8.353e-06,42,1780,1.552e-05,2.102e-05,0.397
esq,1,proper,1.041e-04,42,1780,5.818e-05,3.401e-05,3.060
establishment,2,,6.825e-05,42,1780,7.103e-05,5.185e-05,1.316
etc,1,,5.728e-06,42,1780,2.594e-06,2.513e-05,0.228
even,2,,4.640e-04,42,1780,5.572e-04,4.884e-04,0.950
evening,1,,8.875e-05,42,1780,1.080e-04,1.037e-04,0.856
ever,1,,3.394e-04,42,1780,3.771e-04,3.092e-04,1.098
every,4,,1.063e-03,42,1780,9.820e-04,6.860e-04,1.549
exalted,1,,2.136e-05,42,1780,1.950e-05,9.668e-06,2.209
excellent,1,,7.361e-05,42,1780,6.987e-05,6.552e-05,1.123
excited,1,,3.855e-05,42,1780,4.798e-05,2.762e-05,1.395
exerted,1,,1.527e-05,42,1780,1.673e-05,1.062e-05,1.438
exhibiting,1,,1.042e-05,42,1780,1.353e-05,9.075e-06,1.149
exists,1,,2.126e-05,42,1780,3.712e-05,3.738e-05,0.569
exotic,1,,1.415e-06,37,1781,1.210e-06,1.174e-06,1.205
explore,1,,4.944e-06,42,1780,4.776e-06,3.499e-06,1.413
explorers,1,,3.397e-07,31,1781,3.882e-07,2.144e-06,0.158
exposed,1,,5.882e-05,42,1780,5.761e-05,4.301e-05,1.368
exquisite,1,,1.007e-05,42,1780,1.337e-05,1.192e-05,0.845
extant,1,,6.465e-06,40,1781,7.368e-06,5.188e-06,1.246
extensive,2,,6.158e-05,42,1780,7.004e-05,4.635e-05,1.329
extent,1,,8.382e-05,42,1780,1.220e-04,1.193e-04,0.703
eye,3,,1.027e-04,42,1780,1.450e-04,1.142e-04,0.899
eyes,1,,1.255e-04,42,1780,1.665e-04,1.735e-04,0.723
face,2,,9.438e-05,42,1780,1.265e-04,1.744e-04,0.541
facilities,1,,1.357e-05,40,1780,1.439e-05,2.063e-05,0.658
fact,1,,1.352e-04,42,1780,2.371e-04,3.191e-04,0.424
fall,2,,1.137e-04,42,1780,1.223e-04,1.245e-04,0.913
fallen,2,,3.990e-05,42,1780,5.018e-05,3.986e-05,1.001
falling,1,,2.735e-05,42,1780,3.198e-05,3.421e-05,0.799
fame,1,,2.566e-04,42,1780,3.594e-05,2.575e-05,9.966
family,1,,1.668e-04,42,1780,1.746e-04,1.656e-04,1.007
fancied,1,,5.602e-06,41,1780,8.274e-06,7.532e-06,0.744
far,2,,3.211e-04,42,1780,3.837e-04,3.728e-04,0.861
farm,1,,2.480e-05,42,1780,3.187e-05,6.457e-05,0.384
farms,1,,9.151e-06,42,1780,9.463e-06,1.470e-05,0.623
fashion,1,,1.835e-05,42,1780,2.513e-05,2.586e-05,0.710
fastened,1,,9.801e-06,42,1780,1.200e-05,1.491e-05,0.657
fatal,1,,4.586e-05,42,1780,4.496e-05,3.536e-05,1.297
father,1,,2.447e-04,42,1780,2.874e-04,2.283e-04,1.072
favourite,1,,2.645e-05,42,1780,2.172e-05,5.815e-06,4.549
fayette,1,proper,1.033e-05,42,1780,8.251e-06,6.338e-06,1.631
feeling,1,,3.668e-05,42,1780,1.017e-04,8.933e-05,0.411
feet,1,,1.660e-04,42,1780,2.260e-04,3.511e-04,0.473
fell,1,,8.279e-05,42,1780,8.850e-05,8.201e-05,1.009
few,4,,2.972e-04,42,1780,3.732e-04,3.625e-04,0.820
field,2,proper,9.416e-05,42,1780,1.003e-04,1.301e-04,0.724
