draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
68,222.4,-59.8,5.52,20.0,16.0,14.3,18.1,N-S,21.4,39.1,12.6,17.8,189.0,16.8,76.1,11.4,17.8,0,,0,18.52,0.37
69,223.5,-58.4,5.36,16.0,20.0,13.5,17.4,N-S,21.8,39.0,12.4,16.3,183.5,16.6,61.2,12.4,19.7,0,,0,22.97,5.53
70,220.5,-59.7,5.64,16.0,20.0,14.3,19.0,N-S,21.5,40.6,13.9,16.7,186.0,17.9,66.4,13.8,19.6,1,8.91,1,8.91,-10.13
71,220.5,-59.6,5.72,16.0,20.0,11.9,14.9,N-S,16.6,36.5,13.5,18.8,185.2,18.1,64.6,12.5,18.4,0,,0,20.16,5.22
72,218.1,-60.4,5.73,16.0,20.0,14.0,18.1,N-S,18.5,38.0,13.1,18.3,187.4,17.2,67.9,12.3,20.3,0,,1,17.34,-0.78
73,220.2,-58.0,5.53,20.0,16.0,12.2,16.3,N-S,18.9,36.5,13.8,17.0,186.8,18.0,73.4,13.3,20.2,0,,0,20.39,4.14
74,221.0,-60.2,5.71,20.0,16.0,11.3,15.5,N-S,21.8,36.6,13.4,18.8,187.3,17.5,79.4,12.0,18.5,0,,0,20.86,5.41
75,220.7,-59.6,5.67,16.0,20.0,13.6,18.4,E-W,21.6,39.6,12.4,16.2,187.5,19.5,79.6,12.2,21.1,0,,1,15.7,-2.72
76,223.4,-59.1,5.69,16.0,20.0,13.7,17.9,N-S,21.7,38.5,12.9,18.2,188.6,18.7,74.0,12.7,21.1,0,,1,17.58,-0.31
77,220.1,-57.9,5.54,16.0,20.0,16.5,20.0,N-S,16.4,38.4,14.2,16.8,187.9,17.9,79.1,11.4,20.0,0,,1,18.98,-1.01
78,218.9,-60.0,5.74,20.0,16.0,13.7,16.8,N-S,19.2,36.1,14.1,17.3,186.3,17.5,78.3,13.8,21.9,0,,0,20.16,3.31
79,218.3,-57.6,5.14,20.0,16.0,16.1,19.9,N-S,19.6,38.2,14.1,18.5,185.6,17.5,77.8,11.5,20.7,0,,0,21.09,1.15
80,220.3,-58.3,5.73,16.0,20.0,12.1,16.0,E-W,17.0,39.5,14.1,17.8,187.7,18.7,62.5,11.5,19.7,0,,0,18.05,2.08
81,218.2,-58.3,5.5,20.0,16.0,13.3,16.5,N-S,20.0,38.9,12.9,17.3,187.2,17.7,73.2,13.0,18.0,0,,0,18.28,1.75
82,222.9,-59.9,5.34,20.0,16.0,13.0,17.1,E-W,19.1,37.2,13.2,16.8,184.8,19.5,69.8,12.7,18.9,0,,0,23.44,6.35
83,223.3,-59.1,5.68,20.0,16.0,16.2,19.8,N-S,16.3,37.7,14.4,16.3,184.3,17.3,62.5,11.7,19.1,0,,0,25.08,5.29
84,218.8,-58.1,5.61,16.0,20.0,15.0,18.5,N-S,20.4,35.6,12.8,16.9,184.7,17.0,72.0,13.3,19.0,0,,1,18.28,-0.27
85,220.7,-60.2,5.71,16.0,20.0,14.9,19.9,E-W,16.3,37.8,14.3,18.9,184.2,19.6,60.8,11.3,17.5,0,,0,20.16,0.22
86,219.2,-59.9,5.28,20.0,16.0,14.5,19.0,N-S,19.8,37.7,12.4,16.4,188.0,17.9,62.3,12.7,19.8,0,,1,18.05,-0.95
87,218.2,-58.2,5.43,20.0,16.0,10.7,14.7,N-S,21.4,39.7,14.5,18.7,186.6,19.4,76.9,11.6,18.6,0,,0,19.92,5.22
88,222.5,-57.9,5.71,16.0,20.0,11.3,15.1,E-W,17.1,37.9,13.8,17.9,188.0,16.9,77.4,11.8,19.6,0,,0,19.92,4.86
89,223.2,-60.0,5.63,20.0,16.0,13.7,16.8,N-S,19.9,38.3,14.2,18.2,185.7,18.2,78.5,11.9,19.6,0,,0,21.09,4.32
90,221.0,-58.0,5.34,16.0,20.0,10.5,15.1,N-S,19.3,37.3,14.5,16.6,185.3,18.0,73.2,12.5,18.8,0,,0,19.69,4.6
91,219.3,-58.4,5.66,16.0,20.0,11.6,16.0,E-W,21.3,38.3,12.5,18.3,186.0,16.9,77.2,13.2,20.5,0,,0,17.34,1.31
92,220.8,-59.0,5.65,16.0,20.0,15.7,19.8,N-S,16.6,39.6,14.5,18.8,185.5,16.5,60.8,13.4,21.2,0,,1,18.98,-0.79
93,219.5,-58.5,5.28,16.0,20.0,10.4,14.7,E-W,20.2,37.4,13.3,18.7,188.1,18.9,77.4,13.2,21.1,0,,0,18.52,3.83
94,223.0,-59.3,5.21,20.0,16.0,15.4,18.6,N-S,18.0,38.5,13.4,18.0,183.7,18.0,69.8,13.2,20.9,0,,0,27.42,8.85
95,219.8,-59.2,5.44,20.0,16.0,14.2,17.7,N-S,16.8,40.3,14.5,17.3,185.1,19.1,79.6,11.8,18.7,0,,0,19.69,2.02
96,219.2,-59.4,5.68,20.0,16.0,14.1,19.0,E-W,19.7,37.8,12.9,18.1,188.4,19.6,61.1,11.7,17.1,0,,0,19.92,0.93
97,219.7,-58.7,5.05,20.0,16.0,15.3,19.0,N-S,18.1,37.1,14.0,19.1,186.8,18.4,72.5,11.5,20.9,0,,0,21.56,2.6
