draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
339,227.8,-59.7,4.09,16.0,20.0,14.8,19.5,E-W,16.0,35.7,14.3,17.9,185.3,18.2,69.5,12.6,17.4,0,,0,25.08,5.61
340,213.9,-57.5,4.08,16.0,20.0,12.3,16.8,N-S,16.9,39.4,14.3,19.3,187.4,19.1,72.8,12.2,21.1,1,3.28,1,3.28,-13.56
341,219.2,-60.4,4.91,16.0,20.0,15.5,18.6,N-S,20.2,35.9,13.1,18.5,188.4,18.1,76.5,12.3,19.5,0,,1,18.52,-0.04
342,210.4,-58.5,4.46,20.0,16.0,13.2,16.5,E-W,17.9,38.6,13.8,17.0,188.4,19.3,62.2,11.6,20.7,1,4.22,0,18.28,1.76
343,226.9,-56.4,4.83,20.0,16.0,15.5,18.9,N-S,21.0,38.1,12.7,18.1,183.8,16.8,72.2,13.2,18.5,0,,0,33.98,15.13
344,210.0,-59.2,4.74,20.0,16.0,13.2,18.0,N-S,18.6,38.0,14.0,17.8,188.1,18.2,67.4,12.9,19.5,0,,0,18.75,0.75
345,219.6,-56.9,4.92,16.0,20.0,10.9,15.2,N-S,18.4,36.8,12.3,17.7,188.2,19.1,61.8,14.0,20.9,0,,0,18.28,3.1
346,229.5,-58.1,3.82,20.0,16.0,13.9,18.7,N-S,20.7,35.4,14.5,17.5,188.5,19.9,65.9,13.3,21.7,0,,0,28.36,9.69
347,229.2,-60.6,4.62,16.0,20.0,13.5,17.5,N-S,19.1,37.7,14.0,16.9,188.6,16.8,74.0,12.8,20.4,0,,0,20.16,2.67
348,229.0,-60.5,4.04,20.0,16.0,14.7,18.7,N-S,16.9,37.6,14.0,16.3,187.8,16.8,71.6,11.7,19.8,0,,0,22.27,3.53
349,217.0,-59.1,4.65,20.0,16.0,13.4,17.8,N-S,19.8,36.3,12.7,16.1,187.0,16.3,68.2,12.3,17.2,0,,0,18.28,0.46
350,231.4,-60.4,4.81,20.0,16.0,12.7,16.8,N-S,18.7,39.0,12.8,18.8,184.1,20.0,64.3,11.9,18.5,0,,0,32.11,15.28
351,223.9,-60.8,4.43,16.0,20.0,11.5,15.1,E-W,21.5,34.6,12.9,16.6,188.6,16.5,60.8,11.3,17.1,0,,0,19.45,4.36
352,228.4,-59.3,4.24,16.0,20.0,12.0,16.6,N-S,20.3,40.8,13.8,18.0,188.2,19.9,79.8,12.8,18.3,0,,0,19.22,2.65
