ngram,year,freq_per_1e9,source
dunder and blixum,1836,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1837,2.4572,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1838,0.8072,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1839,2.2802,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1840,4.5886,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1841,0.7041,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1842,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1843,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1844,0.6057,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1845,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1846,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1847,0.5394,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1848,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1849,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1850,1.5135,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1851,0.9522,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1852,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1853,0.4198,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1854,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1855,0.4327,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1856,0.4381,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1857,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1858,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1859,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
dunder and blixum,1860,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1780,7.0373,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1781,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1782,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1783,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1784,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1785,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1786,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1787,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1788,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1789,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1790,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1791,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1792,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1793,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1794,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1795,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
donder and blitzen,1796,0.0,https://books.google.com/ngrams/json?content=dunder%20and%20blixem%2Cdunder%20and%20blixum%2Cdonder%20and%20blixem%2Cdonder%20and%20blitzen%2Cdunder%20and%20blitzen&year_start=1780&year_end=1860&corpus=en&smoothing=0&case_insensitive=true
