year,pdsi_strasbourg_cell,pdsi_mean_3x3,pdsi_mean_5x5,pdsi_48.25N_7.25E,pdsi_48.25N_7.75E,pdsi_48.25N_8.25E,pdsi_48.75N_7.25E,pdsi_48.75N_7.75E,pdsi_48.75N_8.25E,pdsi_49.25N_7.25E,pdsi_49.25N_7.75E,pdsi_49.25N_8.25E,pdsi_basel_47.75N_7.75E,pdsi_colmar_48.25N_7.25E,pdsi_freiburg_47.75N_7.75E,pdsi_karlsruhe_49.25N_8.25E,pdsi_nancy_48.75N_6.25E,pdsi_stuttgart_48.75N_9.25E,pdsi_strasbourg_cell_rank_wettest1,pdsi_strasbourg_cell_rank_driest1,pdsi_strasbourg_cell_pctile_1500_1600,pdsi_mean_3x3_rank_wettest1,pdsi_mean_3x3_rank_driest1,pdsi_mean_3x3_pctile_1500_1600,pdsi_mean_5x5_rank_wettest1,pdsi_mean_5x5_rank_driest1,pdsi_mean_5x5_pctile_1500_1600
1560,0.741,0.929,0.675,-0.746,0.602,0.350,1.125,0.741,1.720,0.973,1.367,2.229,0.089,-0.746,0.089,2.229,1.393,-0.758,33,69,0.683,26,76,0.752,36,66,0.653
1561,0.447,0.908,0.555,-0.821,-0.134,1.142,0.444,0.447,1.622,0.604,1.432,3.434,-0.161,-0.821,-0.161,3.434,0.232,-0.637,37,65,0.644,28,74,0.733,40,62,0.614
1562,4.486,4.518,4.117,3.090,4.329,4.478,5.176,4.486,4.073,4.427,5.837,4.765,3.221,3.090,3.221,4.765,4.652,1.933,2,100,0.990,1,101,1.000,1,101,1.000
1563,3.807,2.724,2.764,2.905,2.949,2.694,2.436,3.807,1.618,3.560,2.371,2.175,2.951,2.905,2.951,2.175,1.268,1.812,3,99,0.980,6,96,0.950,4,98,0.970
1564,1.743,1.167,1.108,1.626,1.249,0.937,0.937,1.743,0.893,1.548,0.915,0.658,1.181,1.626,1.181,0.658,0.074,0.144,14,88,0.871,22,80,0.792,18,84,0.832
1565,0.384,0.268,0.248,0.520,0.288,0.493,0.360,0.384,0.017,0.168,0.237,-0.052,0.175,0.520,0.175,-0.052,-0.052,0.340,41,61,0.604,45,57,0.564,45,57,0.564
1566,-0.457,-1.190,-0.995,-0.231,-0.360,-1.492,-1.174,-0.457,-1.295,-0.698,-2.109,-2.894,0.010,-0.231,0.010,-2.894,-0.429,-0.006,56,46,0.455,70,32,0.317,70,32,0.317
1567,-4.243,-3.354,-3.135,-3.614,-3.782,-2.113,-3.459,-4.243,-2.944,-4.114,-3.884,-2.031,-3.467,-3.614,-3.467,-2.031,-3.713,-0.648,95,7,0.069,94,8,0.079,94,8,0.079
1568,0.064,0.658,0.427,-0.075,0.243,0.198,1.174,0.064,1.802,0.170,1.340,1.003,-0.130,-0.075,-0.130,1.003,2.033,0.866,44,58,0.574,35,67,0.663,41,61,0.604
1569,-2.040,-1.702,-1.610,-2.265,-2.544,-1.574,-1.905,-2.040,-1.639,-2.165,-0.233,-0.951,-2.154,-2.265,-2.154,-0.951,-2.096,-1.018,80,22,0.218,73,29,0.287,75,27,0.267
1570,1.437,1.568,1.507,0.931,1.173,0.932,1.826,1.437,2.319,1.578,2.315,1.598,1.086,0.931,1.086,1.598,1.463,2.742,20,82,0.812,13,89,0.881,14,88,0.871
1571,-2.147,-2.266,-2.085,-2.885,-2.510,-2.242,-2.850,-2.147,-1.750,-1.925,-2.498,-1.586,-3.001,-2.885,-3.001,-1.586,-3.625,-0.208,82,20,0.198,83,19,0.188,84,18,0.178
1572,-3.251,-3.259,-2.872,-3.590,-3.523,-3.163,-3.662,-3.251,-3.478,-2.810,-3.208,-2.648,-4.054,-3.590,-4.054,-2.648,-3.963,-0.452,93,9,0.089,93,9,0.089,92,10,0.099
1573,-0.773,-0.724,-0.693,-1.825,-1.206,-1.020,-0.837,-0.773,-0.121,-0.703,0.040,-0.074,-1.606,-1.825,-1.606,-0.074,0.130,-0.626,61,41,0.406,63,39,0.386,62,40,0.396
1574,-1.401,-0.759,-0.626,-2.034,-1.693,-0.757,-0.791,-1.401,0.413,-1.339,-0.047,0.814,-1.472,-2.034,-1.472,0.814,-0.358,-0.053,72,30,0.297,64,38,0.376,57,45,0.446
