draw,obs_x,obs_y,eye_z,barn_w,barn_d,barn_eaves,barn_ridge,barn_axis,dalton_w,dalton_y0,dalton_eaves,dalton_ridge,forbes_x0,forbes_w,forbes_depth,forbes_eaves,forbes_ridge,body_visible,z_body_min,ridge_visible,H_min,above_ridge
263,233.8,-55.5,5.64,16.0,20.0,14.2,18.8,E-W,16.5,38.4,14.4,16.2,188.9,18.7,66.0,14.1,20.3,0,,0,29.3,10.47
264,234.0,-56.4,5.55,20.0,16.0,15.7,19.0,N-S,21.8,34.4,13.5,17.7,186.9,16.8,76.8,11.7,17.3,0,,0,29.06,10.05
265,235.8,-60.7,5.48,16.0,20.0,14.7,18.3,N-S,17.4,38.7,13.5,15.9,185.5,17.3,69.3,13.4,19.0,0,,0,30.47,12.13
266,257.2,-50.6,5.63,20.0,16.0,10.5,14.3,E-W,20.6,36.1,13.2,16.6,185.3,19.3,63.0,11.6,19.1,0,,0,28.12,13.86
267,234.1,-58.0,5.51,20.0,16.0,14.2,18.3,E-W,16.4,40.8,14.8,19.2,184.6,16.8,77.4,12.3,20.5,0,,0,34.92,16.65
268,251.8,-60.3,5.73,20.0,16.0,13.2,16.3,N-S,16.5,37.3,13.5,17.6,187.1,19.7,66.3,12.1,19.7,0,,0,30.94,14.6
269,258.1,-56.0,5.71,20.0,16.0,12.5,16.4,E-W,19.1,37.8,13.2,16.5,184.1,18.1,68.2,11.5,18.1,0,,0,25.78,9.4
270,255.2,-50.0,5.05,20.0,16.0,14.3,19.1,E-W,21.7,36.2,13.5,17.2,188.6,18.9,71.1,12.7,18.7,0,,0,29.3,10.23
271,234.4,-50.4,5.28,20.0,16.0,10.8,15.6,E-W,18.4,39.3,14.0,19.1,186.5,17.9,71.7,13.0,19.6,0,,0,35.16,19.56
272,241.6,-55.9,5.65,20.0,16.0,10.4,14.3,N-S,18.5,39.6,13.8,17.8,187.6,18.5,74.8,11.1,20.3,0,,0,34.92,20.58
273,248.5,-55.2,5.47,16.0,20.0,10.9,14.2,E-W,21.0,39.7,12.5,16.5,185.6,18.9,68.7,13.6,19.3,0,,0,31.41,17.26
274,244.1,-58.6,5.47,16.0,20.0,12.8,16.1,N-S,17.6,38.3,14.1,18.0,184.1,17.4,76.8,13.1,20.5,0,,0,33.28,17.15
275,257.7,-54.6,5.24,20.0,16.0,13.9,18.2,N-S,18.8,37.5,14.5,17.3,184.8,17.5,64.4,13.6,21.7,0,,0,32.11,13.89
276,240.7,-55.5,5.52,16.0,20.0,12.0,15.8,N-S,21.4,37.3,13.9,19.1,188.5,16.1,74.7,12.6,18.3,0,,0,32.11,16.28
277,257.8,-58.9,5.56,16.0,20.0,16.7,19.7,N-S,18.8,36.8,13.8,18.5,185.2,18.5,68.8,11.7,19.0,0,,0,28.59,8.86
278,238.9,-57.8,5.72,16.0,20.0,12.5,16.1,N-S,20.4,37.6,12.8,16.6,186.7,18.8,66.0,12.7,19.9,0,,0,31.41,15.29
279,238.3,-59.1,5.66,16.0,20.0,9.6,14.5,N-S,17.5,36.5,14.0,17.6,187.5,18.9,72.8,12.8,19.6,0,,0,30.0,15.47
280,241.0,-56.1,5.46,16.0,20.0,10.8,14.1,E-W,19.2,39.9,12.9,18.5,187.4,18.1,76.1,11.9,20.1,0,,0,34.45,20.31
281,251.2,-59.4,5.07,16.0,20.0,11.2,15.6,E-W,16.1,35.7,14.5,19.1,184.5,16.4,66.2,11.5,18.0,0,,0,27.66,12.1
282,254.0,-55.3,5.78,20.0,16.0,13.5,17.1,E-W,19.0,40.6,13.2,18.4,189.3,17.4,62.2,12.4,18.0,0,,0,27.89,10.75
283,237.6,-57.1,5.16,20.0,16.0,12.7,16.1,E-W,19.8,36.4,14.2,18.1,189.0,17.1,66.8,11.7,18.0,0,,0,27.66,11.56
284,253.8,-56.7,5.63,20.0,16.0,15.2,19.8,N-S,21.0,38.2,14.1,16.3,184.2,16.1,64.9,13.2,22.2,0,,0,32.81,13.02
285,252.5,-60.8,5.06,20.0,16.0,12.4,16.5,E-W,16.5,40.2,13.8,16.8,186.0,19.5,63.3,12.0,19.5,0,,0,30.47,13.94
286,244.4,-58.7,5.15,16.0,20.0,14.0,17.1,N-S,16.0,38.5,13.7,17.1,186.1,16.3,61.3,11.6,19.0,0,,0,31.64,14.59
287,254.8,-59.4,5.51,20.0,16.0,14.6,19.3,E-W,19.8,38.3,14.6,19.4,189.3,19.6,66.2,12.1,20.0,0,,0,31.88,12.61
288,242.2,-50.2,5.29,16.0,20.0,14.3,19.2,N-S,16.7,37.9,14.4,17.6,188.7,19.7,70.5,11.1,20.4,0,,0,37.5,18.26
289,252.8,-58.8,5.32,16.0,20.0,11.5,15.4,N-S,18.8,38.3,13.9,17.5,184.6,16.8,71.1,11.7,18.9,0,,0,29.06,13.65
290,247.6,-57.4,5.78,20.0,16.0,13.5,17.4,E-W,18.3,40.6,13.4,18.5,188.5,19.4,70.9,11.7,18.9,0,,0,30.7,13.27
291,248.5,-57.6,5.46,16.0,20.0,12.8,17.4,N-S,20.5,35.5,13.6,17.2,189.0,18.8,64.6,12.0,20.4,0,,0,34.92,17.49
292,243.7,-55.0,5.17,16.0,20.0,12.4,17.3,N-S,21.1,39.9,14.0,15.8,189.1,18.0,72.1,12.3,17.9,0,,0,31.64,14.39
293,250.1,-60.1,5.23,16.0,20.0,13.0,17.4,N-S,17.4,36.1,12.6,17.2,189.3,18.9,63.1,13.7,19.3,0,,0,33.05,15.69
294,239.8,-54.6,5.12,20.0,16.0,15.7,19.5,E-W,21.5,37.1,14.0,16.7,185.7,17.6,71.7,13.2,21.9,0,,0,37.27,17.75
295,254.3,-52.0,5.46,20.0,16.0,10.8,14.7,N-S,19.2,37.3,13.4,17.8,184.4,18.4,68.1,12.3,20.3,0,,0,30.23,15.52
296,254.6,-56.8,5.28,16.0,20.0,14.8,19.0,E-W,21.5,37.2,14.4,18.1,187.1,16.6,65.2,13.0,20.3,0,,0,32.11,13.12
297,255.5,-60.8,5.52,20.0,16.0,11.5,14.9,N-S,16.7,38.6,13.4,15.8,189.3,18.2,78.3,12.1,18.5,0,,0,28.59,13.66
298,233.6,-53.9,5.28,16.0,20.0,11.5,15.4,N-S,17.6,39.6,13.6,18.7,187.0,16.3,62.3,13.3,18.8,0,,0,32.34,16.93
299,243.2,-54.4,5.24,20.0,16.0,13.9,18.5,E-W,22.0,35.3,12.7,17.1,184.8,17.7,64.4,13.7,20.0,0,,0,32.11,13.6
300,239.6,-50.8,5.06,16.0,20.0,12.1,16.0,N-S,21.9,39.5,13.8,17.2,186.6,16.5,72.1,12.2,19.2,0,,0,33.75,17.77
301,247.1,-59.0,5.72,16.0,20.0,16.1,19.1,N-S,17.1,35.7,12.8,17.2,188.6,18.3,64.7,12.4,21.8,0,,0,37.5,18.41
302,234.9,-57.1,5.23,20.0,16.0,10.0,14.9,N-S,17.6,41.0,12.8,17.3,185.7,17.7,78.5,13.1,19.0,0,,0,33.28,18.41
303,255.7,-51.8,5.42,16.0,20.0,11.7,15.6,N-S,20.3,38.8,13.0,16.1,185.6,16.7,77.5,12.6,19.3,0,,0,29.3,13.74
304,242.9,-54.7,5.15,20.0,16.0,12.3,15.6,E-W,20.5,39.2,13.8,18.7,183.5,19.5,64.5,12.7,21.0,0,,0,33.75,18.12
305,235.4,-60.9,5.07,16.0,20.0,11.2,15.0,N-S,18.7,39.0,12.7,18.2,188.7,19.0,72.4,13.1,21.7,0,,0,26.25,11.29
306,238.5,-53.5,5.64,20.0,16.0,15.0,19.2,N-S,19.5,38.1,12.6,16.5,183.5,17.2,66.7,11.2,19.0,0,,0,30.23,11.07
307,254.3,-56.8,5.64,20.0,16.0,14.4,19.4,N-S,17.8,36.4,13.6,17.5,188.7,17.4,64.4,12.4,18.5,0,,0,28.59,9.23
308,248.3,-55.6,5.64,20.0,16.0,14.0,18.3,E-W,19.8,37.9,12.8,18.3,185.0,17.6,70.4,11.5,18.3,0,,0,27.89,9.55
309,250.1,-51.9,5.17,16.0,20.0,12.8,17.4,E-W,19.9,38.7,14.0,17.7,187.5,19.3,68.5,12.3,17.4,0,,0,28.36,10.93
310,240.0,-53.0,5.11,20.0,16.0,16.5,19.6,E-W,16.1,35.8,13.8,16.0,185.2,19.1,77.1,14.0,20.0,0,,0,33.75,14.12
311,246.3,-58.6,5.25,20.0,16.0,14.3,17.8,N-S,19.6,39.3,13.5,17.6,184.8,17.8,68.1,12.3,20.5,0,,0,32.34,14.5
312,254.7,-53.8,5.36,20.0,16.0,14.3,18.6,E-W,17.0,36.3,13.1,15.7,189.1,16.7,69.7,13.0,20.2,0,,0,31.64,13.07
313,243.0,-54.2,5.32,20.0,16.0,12.2,15.3,N-S,17.4,38.1,13.1,18.1,186.9,19.7,69.9,13.5,20.3,0,,0,34.69,19.41
314,239.7,-51.4,5.37,20.0,16.0,9.5,14.1,N-S,19.5,38.2,13.5,19.0,184.1,18.5,60.9,12.9,21.1,0,,0,34.69,20.58
315,249.2,-51.2,5.21,16.0,20.0,15.0,18.7,E-W,19.7,38.2,13.8,16.3,185.6,18.2,63.4,11.9,19.1,0,,0,30.7,12.02
316,243.7,-52.6,5.52,16.0,20.0,12.7,17.2,N-S,17.4,37.9,14.7,17.2,186.3,18.5,68.1,12.2,17.5,0,,0,29.06,11.87
317,248.1,-56.0,5.02,20.0,16.0,14.4,18.4,N-S,20.2,36.5,13.1,18.4,186.9,18.4,70.9,12.7,20.1,0,,0,32.58,14.22
318,240.0,-57.1,5.13,16.0,20.0,15.4,19.5,N-S,21.0,39.2,13.8,17.7,184.3,16.7,68.6,12.6,17.9,0,,0,29.77,10.3
319,239.3,-52.4,5.23,16.0,20.0,13.9,18.8,N-S,21.0,38.1,14.1,19.2,183.8,16.8,78.5,11.9,20.0,0,,0,33.52,14.74
320,233.6,-51.0,5.4,20.0,16.0,11.7,16.6,E-W,16.2,37.6,14.3,18.1,188.3,18.7,70.5,12.7,20.1,0,,0,37.73,21.11
321,249.2,-52.4,5.75,20.0,16.0,13.0,17.0,N-S,20.5,38.2,13.8,16.3,184.6,17.1,78.7,12.9,19.9,0,,0,30.0,13.02
322,237.2,-53.7,5.08,20.0,16.0,12.0,16.4,E-W,18.3,40.2,14.2,17.3,188.3,16.7,74.8,11.7,18.9,0,,0,33.75,17.4
323,257.7,-59.5,5.08,20.0,16.0,10.3,15.0,N-S,16.2,38.4,14.2,16.4,183.7,18.1,65.3,11.8,18.8,0,,0,27.19,12.21
324,234.7,-53.2,5.6,20.0,16.0,9.6,14.2,E-W,16.7,38.1,13.4,15.9,189.3,17.2,61.8,12.3,19.3,0,,0,33.75,19.5
325,242.0,-55.3,5.35,20.0,16.0,11.6,15.7,E-W,17.4,39.4,13.8,18.2,184.2,16.9,62.3,12.1,19.8,0,,0,31.41,15.72
326,255.5,-60.2,5.31,20.0,16.0,13.1,16.4,E-W,21.7,34.9,13.2,18.4,187.3,17.9,79.0,12.9,19.1,0,,0,29.3,12.85
