Swiss Grape Harvest Dates and Spring/Summer Temperature Reconstruction
-----------------------------------------------------------------------
               World Data Center for Paleoclimatology, Boulder
                                  and
                     NOAA Paleoclimatology Program
-----------------------------------------------------------------------
NOTE: PLEASE CITE CONTRIBUTORS WHEN USING THIS DATA!!!!!


NAME OF DATA SET: 
Swiss Grape Harvest Dates and Spring/Summer Temperature Reconstruction

LAST UPDATE: 2/2008 (Original receipt by WDC Paleo)
CONTRIBUTOR: Nicole Meier, University of Bern 
IGBP PAGES/WDCA CONTRIBUTION SERIES NUMBER: 2008-015

SUGGESTED DATA CITATION: Meier, N., et al.  2008.
Swiss Grape Harvest Dates and Spring/Summer Temperature Reconstruction. 
IGBP PAGES/World Data Center for Paleoclimatology 
Data Contribution Series # 2008-015.    
NOAA/NCDC Paleoclimatology Program, Boulder CO, USA.


ORIGINAL REFERENCE: 
Meier, N., T. Rutishauser, C. Pfister, H. Wanner, and J. Luterbacher. 2007. 
Grape harvest dates as a proxy for Swiss April to August temperature 
reconstructions back to AD 1480. 
Geophys. Res. Lett., 34, L20705, doi:10.1029/2007GL031381.

ABSTRACT:
We present an annually resolved record of grape harvest dates for Switzerland. 
The strong negative relationship between grape harvest dates and April-August 
temperatures allowed a new reconstruction, with associated uncertainties, 
to be derived back to 1480.  Calibration (1928-1979) was performed with 
monthly data from the Basel and Geneva stations and verified over 1980-2006. 
Twelve days of grape harvest difference correspond to around 1ºC April-August 
temperature difference.  Periods cooler (late grape harvest dates) than the 
1961-1990 mean are reconstructed during the 17th century and at the beginning 
of the 19th century.  Warmer conditions were experienced in the early 18th 
century and during the recent decades, in agreement with grape harvest 
temperature reconstructions from France and other independent temperature 
estimates. On decadal (annual) time-scales the earliest harvests were in the 
1580s (2003) and the latest vintages in the 1740s (1816). Large tropical 
volcanic eruptions led to significantly later grape harvest dates (cooling) 
one to two years after the event.


GEOGRAPHIC REGION: Switzerland
PERIOD OF RECORD: 1480 - 2006 AD

FUNDING SOURCES:
Swiss National Science Foundation (project "Past, Present and Future 
Climate Impact on Spring and Summer Vegetation – a Phenological Approach" 
contract 205321-105691/1) and through its National Center of Competence
in Research on Climate (NCCR-Climate), projects PALVAREX and CAPRICORN 
and the Oeschger Centre for Climate Change Research. 
The publication is financially supported by the 
Foundation Marchese Francesco Medici del Vascello.


DESCRIPTION:  
Annual median grape harvest dates for 15 locations in the Swiss Plateau 
region and north-western Switzerland, plus phenological reconstruction
of April - August temperature.



DATA:
Column 1: Year AD
Column 2: Median time series of Swiss grape harvest dates, number of days after January 1
Column 3: Reconstructed April - August temperature anomalies (wrt 1961-1990) 

Year     DoY Rec. Value
1816      315    -2.21
1817      297    -0.87
1818      285    -0.04
1819      284     0.04
1820      291    -0.47
1821      307    -1.59
1822      258     1.96
1823      300    -1.12
1824      292    -0.54
1825      283     0.15
1826      285        0
1827      283     0.11
1828      284     0.07
1829      293    -0.62
1830      287    -0.18
1831      287    -0.18
1832      292    -0.54
1833      286    -0.11
1834      271     0.98
1835      291    -0.43
1836      291    -0.47
1837      296    -0.83
1838      290     -0.4
1839      287    -0.18
1840      287    -0.14
1841      280     0.33
1842      278     0.47
1843      297    -0.87
1844      283     0.11
1845      293    -0.62
1846      275     0.73
1847      290     -0.4
1848      282     0.18
1849      287    -0.14
1850      293    -0.62
1851      294    -0.69
1852      287    -0.14
1853      294    -0.69
1854      286    -0.11
1855      290     -0.4
1856      290     -0.4
1857      283     0.11
1858      282     0.18
1859      280     0.36
1860      295    -0.76
1861      283     0.11
1862      275     0.69
1863      283     0.11
1864      283     0.11
1865      257        2
1866      285    -0.04
1867      285    -0.04
1868      257        2
1869      283     0.11
1870      274     0.76
1871      289    -0.33
1872      291    -0.47
1873      278     0.47
1874      289    -0.33
1875      274     0.76
1876      NA       NA
1877      288    -0.25
1878      283     0.11
1879      NA       NA
1880      NA       NA
1881      NA       NA
1882      NA       NA
1883      NA       NA
1884      NA       NA
1885      278     0.47
1886      284     0.04
1887      283     0.11
1888      279      0.4
1889      280     0.33
1890      285        0
1891      285    -0.04
1892      279      0.4
1893      284     0.07
1894      288    -0.25
1895      281     0.29
1896      286    -0.11
1897      276     0.65
1898      287    -0.18
1899      287    -0.18
1900      281     0.26
1901      273     0.84
1902      289    -0.33
1903      282     0.18
1904      272     0.91
1905      278     0.47
1906      285        0
1907      284     0.07
1908      273     0.87
1909      280     0.33
1910      284     0.04
1911      272     0.94
1912      283     0.11
1913      283     0.11
1914      289    -0.33
1915      274     0.76
1916      292    -0.54
1917      269     1.13
1918      287    -0.18
1919      288    -0.25
1920      272     0.91
1921      272     0.91
1922      284     0.04
1923      294    -0.69
1924      284     0.04
1925      285    -0.04
1926      293    -0.62
1927      NA       NA
1928      283     0.11
1929      282     0.18
1930      279      0.4
1931      285    -0.04
1932      290     -0.4
1933      289    -0.33
1934      262     1.63
1935      280     0.33
1936      287    -0.18
1937      270     1.05
1938      290     -0.4
1939      298    -0.94
1940      280     0.36
1941      292    -0.51
1942      279      0.4
1943      276     0.62
1944      289    -0.33
1945      262     1.63
1946      280     0.33
1947      269     1.13
1948      285    -0.04
1949      280     0.33
1950      273     0.87
1951      293    -0.58
1952      276     0.62
1953      280     0.33
1954      299    -1.01
1955      285        0
1956      295    -0.76
1957      288    -0.25
1958      281     0.26
1959      279     0.44
1960      283     0.11
1961      285    -0.04
1962      289    -0.33
1963      291    -0.43
1964      278     0.47
1965      296    -0.83
1966      283     0.15
1967      281     0.29
1968      286    -0.07
1969      286    -0.11
1970      288    -0.25
1971      286    -0.11
1972      289    -0.29
1973      283     0.11
1974      291    -0.47
1975      281     0.26
1976      269     1.13
1977      291    -0.47
