QUERY: silverstar AND date within "1946-01-01 1950-12-31" | total 76 | showing years 1946-1950
  1948/02/27 | De Nederlander | p4 | MMKB19:000082049:mpeg21:a00037 | Zes Jaar Geleden Ging Eskade Doorman Ten Onder In Java-Zee
  1948/01/31 | De Nederlandsche transportcourant | p2 | MMKB19:003646026:mpeg21:a00030 | HANDELSBERICHTEN
  1948/01/02 | De Nederlandsche transportcourant | p3 | MMKB19:003646001:mpeg21:a00030 | SCHEEPSTIJDINGEN
  1948/01/15 | De Nederlandsche transportcourant | p4 | MMKB19:003646012:mpeg21:a00035 | SCHEEPSTIJDINGEN
  1947/07/23 | De Nederlandsche transportcourant | p2 | MMKB19:000824166:mpeg21:a00020 | SCHEEPSTIJDINGEN
  1947/06/23 | De Nederlandsche transportcourant | p2 | MMKB19:000824141:mpeg21:a00030 | SCHEEPSTIJDINGEN
  1948/04/24 | De Nederlandsche transportcourant | p3 | MMKB19:003646096:mpeg21:a00038 | SCHEEPSTIJDINGEN
  -> 16 in range
QUERY: medan AND schip AND (gezonken OR vergaan OR ontploffing) AND date within "1947-06-01 1947-12-31" | total 2 | showing years 1947-1947
  1947/07/29 | Nieuwsblad van het Zuiden | p1 | MMKB19:000607025:mpeg21:a00002 | VOORTGEZETTE OPMARS
  1947/09/15 | Nieuwe Vlaardingsche courant | p | MMSAVL02:000459110:mpeg21:a00001 | De textielpunten worden soepel verdeeld
  -> 2 in range
