QUERY: "nederlandsch schip" AND pacific AND "S.O.S." AND date within "1940-10-01 1940-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: doodenschip AND date within "1940-01-01 1940-12-31" | collection: DDD_artikel | numberOfRecords: 8 
1940/12/09 | Nieuwsblad van het Zuiden : dagblad met ochtend- en avond-editie | p5 | ddd:010770717:mpeg21:a0086 | Hedendaagsche spoken bedienen zich van auto's IN DE VEREENIGDE STATEN IS HET VEILIGER 's N | Koninklijke Bibliotheek C 1123
1941/02/15 | De Sumatra post | p6 | ddd:011176825:mpeg21:a0130 | EEN SPOOKSCHIP TOT ZINKEN GEBRACHT | Koninklijk Instituut voor Taal-, Land- e
1940/12/09 | Dagblad van Noord-Brabant | p6 | MMKB23:001991210:mpeg21:a00099 | Hedendaagsche spoken bedienen zich van auto’s. In de Vereenigde-Staten is het veiliger ’s  | Tilburg University Library
1940/09/21 | De Telegraaf | p6 | ddd:110579222:mpeg21:a0115 | HAARLEM, 21 September. Bioscopen. | KB C 98
1940/09/22 | De Telegraaf | p11 | ddd:110579224:mpeg21:a0108 | Bioscopen | KB C 98
1940/09/21 | De Telegraaf | p7 | ddd:110579223:mpeg21:a0267 | Bioscopen. | KB C 98
1940/09/21 | De courant Het nieuws van den dag | p6 | ddd:010379066:mpeg21:a0110 | HAARLEM. | KB C 226
1940/09/24 | Oprechte Haarlemsche courant | p2 | ddd:110530258:mpeg21:a0019 | AGENDA | KB C 37
1940/09/24 | Oprechte Haarlemsche courant | p2 | ddd:110530258:mpeg21:a0148 | AGENDA | KB C 37
1940/09/21 | Oprechte Haarlemsche courant | p6 | ddd:110530256:mpeg21:a0055 | Advertentie | KB C 37
1940/09/26 | Oprechte Haarlemsche courant | p2 | ddd:110530260:mpeg21:a0048 | AGENDA | KB C 37
1940/09/21 | Nieuwe Haarlemsche courant | p7 | MMNHA03:179210036:mpeg21:a00119 | Advertentie | Noord-Hollands Archief
1940/09/20 | De Telegraaf | p6 | ddd:110579220:mpeg21:a0102 | HAARLEM, 20 September. Bioscopen. | KB C 98
1940/09/20 | De Telegraaf | p9 | ddd:110579221:mpeg21:a0176 | HAARLEM, 20 September. Bioscopen. | KB C 98
1940/09/26 | Nieuwe Haarlemsche courant | p2 | MMNHA03:179210044:mpeg21:a00040 | Haarlem, 26 Sept. | Noord-Hollands Archief
1940/10/15 | De courant Het nieuws van den dag | p4 | ddd:010379086:mpeg21:a0087 | RUSTELOZE WRAKKEN. | KB C 226
1940/09/06 | Provinciale Drentsche en Asser courant | p5 | ddd:010692937:mpeg21:a0174 | ONTMOETING MET DEN VLIEGENDEN HOLLANDER | Koninklijke Bibliotheek C 225
1940/10/20 | De Telegraaf | p5 | ddd:110579272:mpeg21:a0216 | Tijs Wijs, de Torenwachter 37. „Hier ben ik!” | KB C 98
1940/10/28 | De courant Het nieuws van den dag | p6 | ddd:010379097:mpeg21:a0160 | Tijs Wijs, de Torenwachter 37. „Hier ben ik!” | KB C 226
1940/10/26 | De Limburger | p3 | MMKB23:001235101:mpeg21:a00067 | AMERIKAANSCHE SPOOKGESCHIEDENISSEN | Archief De Domijnen
