QUERY: "straat malakka" | total 18870 | showing years 1947-1948 (capped at 6000)
  1948/07/17 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000063342:mpeg21:a0014 | SCHEEPSBERICHTEN.
  1948/06/19 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000063180:mpeg21:a0023 | Scheepvaartberichten. ZATERDAG 19 JUNI.
  1948/06/19 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000063182:mpeg21:a0021 | Scheepvaartberichten. ZATERDAG 19 JUNI.
  1948/06/19 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije T | p | MMSAEN01:000063183:mpeg21:a0023 | Scheepvaartberichten. ZATERDAG 19 JUNI.
  1947/04/29 | Algemeen Indisch dagblad | p | MMNIOD04:000092179:mpeg21:a0004 | M. W. O. UITGEREIKT. Aan Men. sgt. Irot.
  1947/10/07 | Nieuwe courant | p | MMNIOD04:000093322:mpeg21:a0061 | Advertentie
  1947/06/17 | Het dagblad : uitgave van de Nederlandsche Dagbladpers te Ba | p1 | ddd:010897473:mpeg21:a0025 | Fusie van K.P.M. en J.C.J.L.
  1948/01/10 | Het dagblad : uitgave van de Nederlandsche Dagbladpers te Ba | p2 | ddd:010896014:mpeg21:a0029 | AI ploeterend
  1948/10/12 | Nieuwe Haarlemsche courant | p4 | MMNHA03:179237010:mpeg21:a00085 | Scbeepvaartberichten
  1947/05/27 | De Gooi- en Eemlander : nieuws- en advertentieblad | p3 | ddd:011154838:mpeg21:a0057 | SCHEEPSTIJDINGEN
  1948/02/05 | De Gooi- en Eemlander : nieuws- en advertentieblad | p3 | ddd:011173453:mpeg21:a0055 | SCHEEPSTIJDINGEN
  1948/06/21 | De Gooi- en Eemlander : nieuws- en advertentieblad | p3 | ddd:011173567:mpeg21:a0078 | SCHEEPSTIJDINGEN
  1947/06/17 | Algemeen Dagblad | p2 | MMSARO03:259002140:mpeg21:a00023 | Samenwerking tussen stoomvaartlijnen J.C.J. en K.P.M. willen hoofd bieden aan concurrentie
  1948/08/25 | De Volkskrant | p | ABCDDD:010844968:mpeg21:a0065 | SCHEEPSTIJDINGEN
  1947/10/01 | Het Parool | p | ABCDDD:010835215:mpeg21:a0084 | Scheepstijdigen
  1948/01/29 | Trouw | p | ABCDDD:010870602:mpeg21:a0149 | GROTE VAART.
  1948/05/13 | Trouw | p | ABCDDD:010870686:mpeg21:a0081 | GROTE VAART.
  1948/10/15 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010863030:mpeg21:a0068 | Advertentie
  1948/12/17 | De locomotief : Samarangsch handels- en advertentie-blad | p4 | ddd:010863123:mpeg21:a0084 | Advertentie
  1948/03/24 | Het Binnenhof | p2 | MMKB19:000368071:mpeg21:a00017 | Scheepvaartberichten
  1947/09/06 | De waarheid | p2 | ddd:010852083:mpeg21:a0086 | BERICHTEN VAN ELDERS
  1947/01/17 | De waarheid | p2 | ddd:010852188:mpeg21:a0038 | Burgemeester huldigt redder
  1948/03/05 | Nijmeegsch dagblad | p2 | MMRANM03:048378055:mpeg21:a00040 | SCHEEPSTIJDINGEN
  1947/12/11 | Zutphensch dagblad voor Achterhoek en Veluwezoom | p3 | MMRAZ03:179292290:mpeg21:a00048 | Waar zijn onze schepen?
  1947/01/27 | Nijmeegsch dagblad | p3 | MMRANM03:048375022:mpeg21:a00024 | SCHEEPSTIJDINGEN
  1947/04/15 | Nieuwe provinciale Groninger courant | p3 | MMRHCG04:235022088:mpeg21:a00049 | Waar zijn onze schepen?
  1948/10/21 | Ons Noorden | p3 | MMRHCG04:235375018:mpeg21:a00032 | SCHEEPSBERICHTEN
  1948/02/27 | Ons Noorden | p3 | MMRHCG04:235372053:mpeg21:a00040 | SCHEEPSBERICHTEN
  1948/12/21 | Ons Noorden | p3 | MMRHCG04:235375069:mpeg21:a00035 | SCHEEPSBERICHTEN
  1947/04/02 | Nieuwe provinciale Groninger courant | p3 | MMRHCG04:235022078:mpeg21:a00038 | Familiebericht
  1947/11/27 | Provinciale Overijsselsche en Zwolsche courant | p5 | MMHCO02:163844129:mpeg21:a00099 | Wat geeft onze luidspreker?
  1947/07/23 | De Nederlander | p4 | MMKB19:000080020:mpeg21:a00040 | Laatste positie Ned. schepen
  1948/07/31 | De Nederlander | p3 | MMKB19:000084028:mpeg21:a00019 | Navigare Necesse Est
  1948/08/26 | De Nederlander | p4 | MMKB19:000084050:mpeg21:a00047 | Navigare Necesse Est
  1947/12/11 | Winschoter courant | p4 | MMRHCG03:163519060:mpeg21:a00050 | SCHEEPSTIJDINGEN
  1947/11/06 | Nieuw Utrechtsch dagblad | p3 | MMKB27:017769110:mpeg21:a00062 | Scheepstijdingen
  1947/01/30 | Nieuw Utrechtsch dagblad | p3 | MMKB27:017768025:mpeg21:a00053 | Scheepstijdingen
  1947/03/22 | Nieuw Utrechtsch dagblad | p5 | MMKB27:017768069:mpeg21:a00083 | Scheepstijdingen
  1947/11/27 | Nieuw Utrechtsch dagblad | p4 | MMKB27:017769128:mpeg21:a00057 | Scheepstijdingen
  1947/01/31 | Nieuw Utrechtsch dagblad | p4 | MMKB27:017768026:mpeg21:a00054 | Scheepstijdingen
  1948/03/13 | Nieuw Utrechtsch dagblad | p2 | MMKB27:017770062:mpeg21:a00031 | Scheepstijdingen
  1947/04/18 | Nieuwsblad van het Noorden | p2 | ddd:010886982:mpeg21:a0051 | SCHEEPSTIJDINGEN
  1948/03/25 | Ons Noorden | p3 | MMRHCG04:235372079:mpeg21:a00042 | SCHEEPSBERICHTEN
  1948/07/17 | Nieuw Utrechtsch dagblad | p2 | MMKB27:017771016:mpeg21:a00047 | Scheepstijdingen
  1948/09/29 | Nieuw Utrechtsch dagblad | p2 | MMKB27:017771077:mpeg21:a00056 | Scheepstijdingen
  1948/12/24 | De Tĳd : godsdienstig-staatkundig dagblad | p11 | ddd:011200987:mpeg21:a0157 | Scheepvaartberichten
  1947/07/28 | Provinciale Drentsche en Asser courant | p | MMDA03:000131538:mpeg21:a0003 | REPUBLIKEINEN BLIJVEN OVERWINNINGSBERICHTEN GEVEN
  1947/07/28 | Provinciale Drentsche en Asser courant | p | MMDA03:000131547:mpeg21:a0002 | REPUBLIKEINEN BLIJVEN OVERWINNINGSBERICHTEN GEVEN
  1947/03/25 | Algemeen Handelsblad | p | KBNRC01:000046582:mpeg21:a0083 | NEDERLANDSCHE LIJNEN
  1947/04/02 | Algemeen Handelsblad | p | KBNRC01:000046593:mpeg21:a0058 | SCHEEPSTIJDINGEN
  1947/01/17 | Algemeen Handelsblad | p | KBNRC01:000046411:mpeg21:a0062 | NEDERL. LIJNEN
  1947/03/29 | Algemeen Handelsblad | p | KBNRC01:000046586:mpeg21:a0077 | NEDERLANDSCHE LIJNEN
  1947/08/05 | Algemeen Handelsblad | p | KBNRC01:000061992:mpeg21:a0061 | NEDERL. LIJNEN.
  1947/07/22 | Algemeen Handelsblad | p | KBNRC01:000061979:mpeg21:a0047 | NEDERLANDSE LIJNEN
  1947/08/13 | Algemeen Handelsblad | p | KBNRC01:000061999:mpeg21:a0063 | NEDERLANDSE LIJNEN
  1947/09/30 | Algemeen Handelsblad | p | KBNRC01:000062039:mpeg21:a0069 | NEDERLANDSE LIJNEN
  1947/04/11 | Trouw | p | ABCDDD:010871138:mpeg21:a0238 | GROOTL VAART.
  1947/04/29 | Trouw | p | ABCDDD:010871153:mpeg21:a0251 | SCHEEPSBEWEGINGEN.
  1947/03/26 | Trouw | p | ABCDDD:010871126:mpeg21:a0147 | GROOTE VAART.
  1947/04/16 | Trouw | p | ABCDDD:010871142:mpeg21:a0266 | GROOTE VAART
  1947/04/29 | Trouw | p | ABCDDD:010871153:mpeg21:a0113 | SCHEEPSBEWEGINGEN.
  1947/06/23 | Trouw | p | ABCDDD:010871163:mpeg21:a0190 | GROTE VAART.
