QUERY: "silver star" | total 1436 | showing years 1946-1960
  1951/10/23 | Provinciale Drentsche en Asser courant | p2 | MMKB23:001564098:mpeg21:a00035 | Mevr. Den Ouden nam silver star in ontvangst
  1954/06/12 | De Tĳd : godsdienstig-staatkundig dagblad | p3 | ddd:011203218:mpeg21:a0088 | Pater L. v. d. Vrande M. S. C. naar Nieuw-Guinea
  1952/01/26 | Nieuwe Tilburgsche courant | p1 | MMKB19:000245022:mpeg21:a00019 | Vrijdag heeft te Nijmegen kolonel Bruce W. Bidwell aan de
  1951/10/23 | 't Nieuws voor Kampen | p5 | MMSAK01:164709098:mpeg21:a00091 | Mevrouw Den Ouden ontving „Silver Star”
  1951/10/23 | Provinciale Overijsselsche en Zwolsche courant | p3 | MMHCO02:163853098:mpeg21:a00052 | Mevrouw Den Ouden ontving „Silver Star”
  1952/01/26 | De Volkskrant | p | ABCDDD:010844740:mpeg21:a0067 | Opnieuw twee „Silver Stars” Sgt v. Balkom posthuum onderscheiden
  1952/01/30 | Twentsche courant | p4 | MMCOLO01:280936025:mpeg21:a00058 | „SILVER STAR" POSTHUUM TOEGEKEND
  1951/08/04 | De Volkskrant | p | ABCDDD:010843033:mpeg21:a0117 | Negen gewonden terug uit Korea
  1951/05/01 | Emmer courant | p10 | MMGEM01:163337050:mpeg21:a00127 | Advertentie
  1951/10/24 | Ons Noorden | p4 | MMRHCG04:235383098:mpeg21:a00084 | In tegenwoordigheid van een klein aantal Nederlandse en
  1951/10/23 | Nieuwe provinciale Groninger courant | p4 | MMRHCG04:235031098:mpeg21:a00049 | In tegenwoordigheid van een klein
  1952/01/26 | Trouw | p | ABCDDD:010819709:mpeg21:a0010 | TWEE KOREA-STRIJDERS POSTHUUM ONDERSCHEIDEN
  1951/10/23 | Trouw | p | ABCDDD:010819272:mpeg21:a0077 | Mevr. Den Ouden nam Zilveren Ster in ontvangst
  1952/01/26 | De Heerenveensche koerier : onafhankelĳk dagblad voor Midden | p1 | ddd:010691343:mpeg21:a0011 | Majoor Van Balkom posthuum onderscheiden
  1951/10/24 | Overijsselsch dagblad | p4 | MMKB23:001254021:mpeg21:a00087 | In tegenwoordigheid van een klein aantal Nederlandse en
  1951/08/04 | Limburgsch dagblad | p2 | ddd:010416386:mpeg21:a0068 | de „Silver Star”
  1952/02/21 | Java-bode : nieuws, handels- en advertentieblad voor Nederla | p3 | ddd:010865554:mpeg21:a0082 | Nog een actie
  1952/01/30 | Zutphens dagblad voor de Graafschap en Veluwezoom | p3 | MMRAZ03:179300025:mpeg21:a00061 | Posthume onderscheiding voor Korea- vrijwilligers
  1951/08/04 | Eindhovensch dagblad | p7 | MMRHCE02:163601030:mpeg21:a00092 | NEDERLANDSE OFFICIEREN IN KOREA
  1952/01/30 | Eindhovensch dagblad | p6 | MMRHCE02:163603025:mpeg21:a00092 | Posthume onderscheiding voor Korea-vrijwilligers
  1951/05/01 | Emmer courant | p1 | MMGEM01:163337050:mpeg21:a00009 | Amerikaanse onderscheiding VOOR NEDERLANDSE VAANDRIG
  1951/10/23 | Ons Noorden | p3 | MMRHCG04:235383097:mpeg21:a00070 | Naar wij vernemen:
  1952/01/30 | Deventer dagblad | p6 | MMHCO02:163906025:mpeg21:a00105 | Posthume onderscheiding voor Korea-vrijwilligers
  1950/03/24 | Algemeen Dagblad | p5 | MMSARO03:259008071:mpeg21:a00107 | Amerikaanse passagiersdienst op Europa
  1952/01/24 | De Volkskrant | p | ABCDDD:010844738:mpeg21:a0092 | SIL VERSTAR voor wijlen sgt-maj. Vanßalkom
  1951/03/02 | Nieuwe Haarlemsche courant | p1 | MMNHA03:179246052:mpeg21:a00022 | U.S. Silver Star POSTHUME ONDERSCHEIDING VOOR OVERSTE DEN OUDEN
  1951/10/23 | Overijsselsch dagblad | p3 | MMKB23:001254020:mpeg21:a00064 | Naar wij vernemen:
  1952/01/24 | Twentsch dagblad Tubantia | p1 | MMHCO02:163739079:mpeg21:a00008 | GEWONDEN VERPLEEGD ONDER VIJANDELIJK VUUR Dappere sergeant-majoor posthuum onderscheiden
  1951/10/22 | Het vaderland | p1 | MMKB19:000830019:mpeg21:a00005 | Mevr. Den Ouden ontving Silver Star
  1952/01/24 | Twentsch dagblad Tubantia | p1 | MMHCO02:163739080:mpeg21:a00008 | GEWONDEN VERPLEEGD ONDER VIJANDELIJK VUUR Dappere sergeant-majoor posthuum onderscheiden
  1952/01/24 | Twentsch dagblad Tubantia | p1 | MMHCO02:163739078:mpeg21:a00008 | GEWONDEN VERPLEEGD ONDER VIJANDELIJK VUUR Dappere sergeant-majoor posthuum onderscheiden
  1952/04/12 | De locomotief : Samarangsch handels- en advertentie-blad | p3 | ddd:011177556:mpeg21:a0081 | Silver Star
  1954/05/21 | Emmer courant | p12 | MMGEM01:163342058:mpeg21:a00183 | Advertentie
  1952/01/26 | Provinciale Noord-Brabantsche courant Het huisgezin | p1 | MMUBTB04:210858022:mpeg21:a00009 | In de officierscantine van de Prins Hendrik kazerne te Nijmegen heeft de Amerikaanse
  1952/09/03 | Emmer courant | p4 | MMGEM01:163340028:mpeg21:a00061 | EXLOO Geslaagde Volksfeesten
  1951/08/06 | Emmer courant | p3 | MMGEM01:163338016:mpeg21:a00054 | HET NED. DETACHEMENT VERENIGDE NATIES
  1952/01/26 | De Gooi- en Eemlander | p1 | MMGAGM01:234887022:mpeg21:a00002 | Posthume Amerikaanse onderscheiding
  1952/01/26 | Provinciale Overijsselsche en Zwolsche courant | p1 | MMHCO02:163854022:mpeg21:a00009 | In de officierscantine van de Prins
  1952/01/26 | 't Nieuws voor Kampen | p3 | MMSAK01:164710022:mpeg21:a00038 | In de officierscantine van de Prins
  1952/01/26 | Twentsch dagblad Tubantia | p1 | MMHCO02:163739088:mpeg21:a00013 | In de officierscantine van de Prins Hendrikkazerne te Nijmegen heeft de Amerl-
  1952/01/26 | Twentsch dagblad Tubantia | p1 | MMHCO02:163739086:mpeg21:a00013 | In de officierscantine van de Prins Hendrikkazerne te Nijmegen heeft de Ameri-
  1952/01/26 | Twentsch dagblad Tubantia | p1 | MMHCO02:163739085:mpeg21:a00013 | Inde officierscantine van de Prins Hendrikkazerne te Nijmegen heeft de Ameri-
  1952/01/26 | Twentsch dagblad Tubantia | p1 | MMHCO02:163739087:mpeg21:a00014 | Inde officierscantine van de Prins Hendrikkazerne te Nijmegen heeft de Ameri-
  1951/08/04 | De Tĳd : godsdienstig-staatkundig dagblad | p5 | ddd:011202650:mpeg21:a0106 | Gewonden uit Korea terug
  1951/04/30 | De Volkskrant | p | ABCDDD:010867507:mpeg21:a0007 | Silver Star voor Bergefurth Ned. detachement teruggetrokken
  1951/08/04 | Nieuwe Haarlemsche courant | p3 | MMNHA03:179263029:mpeg21:a00044 | Gewonden terug uit Korea
  1952/02/18 | Overijsselsch dagblad | p5 | MMKB23:001257041:mpeg21:a00108 | Luitenant Gunning sneuvelde
  1957/06/28 | Provinciale Drentsche en Asser courant | p6 | MMKB23:001577149:mpeg21:a00160 | Advertentie
  1952/01/30 | Ons Noorden | p3 | MMRHCG04:235384025:mpeg21:a00066 | Silver Star uitgereikt
  1952/01/24 | Twentsch dagblad Tubantia | p1 | MMHCO02:163739077:mpeg21:a00008 | GEWONDEN VERPLEEGD ONDER VIJANDELIJK VUUR
  1952/01/30 | Overijsselsch dagblad | p3 | MMKB23:001257025:mpeg21:a00066 | Silver Star uitgereikt
  1952/04/18 | Emmer courant | p5 | MMGEM01:163339046:mpeg21:a00070 | Advertentie
  1951/04/30 | Dagblad voor Noord-Limburg | p1 | MMCC02:211154025:mpeg21:a00005 | Vaandrig J. P. Bergefurth
  1954/12/22 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p2 | ddd:010404470:mpeg21:a0046 | Een dag eerder
  1952/01/18 | Nijmeegsch dagblad | p5 | MMRANM03:048389015:mpeg21:a00111 | Postliume onderscheiding
  1957/03/02 | Emmer courant | p9 | MMGEM01:163351052:mpeg21:a00080 | Advertentie
  1953/10/30 | Emmer courant | p6 | MMGEM01:163341053:mpeg21:a00084 | Advertentie
  1951/05/01 | Eindhovensch dagblad | p3 | MMRHCE02:163600026:mpeg21:a00058 | Nederlander in Korea onderscheiden.
  1954/05/07 | Provinciale Drentsche en Asser courant | p7 | MMKB23:001563106:mpeg21:a00134 | Advertentie
  1954/03/20 | Het nieuwsblad voor Sumatra | p3 | ddd:010476882:mpeg21:a0060 | Bokswedstrijden in Medan
  1954/06/12 | De Volkskrant | p | ABCDDD:010843767:mpeg21:a0199 | Pater Van de Vranke naar Nieuw-Guinea
  1952/01/29 | Opregte Steenwijker courant | p | MMGASL01:000408061:mpeg21:a00024 | Posthume Amerikaanse onderscheiding uitgereikt.
  1951/08/04 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p4 | ddd:010402425:mpeg21:a0064 | Silver Star voor Nederlanders
  1954/03/19 | Java-bode : nieuws, handels- en advertentieblad voor Nederla | p3 | ddd:010861753:mpeg21:a0117 | Bokswedstrijden in Medan
  1954/12/31 | Provinciale Drentsche en Asser courant | p4 | MMKB23:001565157:mpeg21:a00206 | Advertentie
  1951/08/04 | Het Binnenhof | p2 | MMKB19:000369030:mpeg21:a00018 | Nederlanders in Korea onderscheiden
  1954/06/12 | De Maasbode | p3 | MMKB15:000569035:mpeg21:a00024 | MAASTRICHTSE RAAD EN DE WATERWEGEN
  1952/02/20 | Onze toekomst | p4 | ddd:011185786:mpeg21:a0015 | Advertentie
  1951/05/16 | Onze toekomst | p5 | ddd:011186173:mpeg21:a0020 | Advertentie
  1951/05/23 | Onze toekomst | p5 | ddd:011186174:mpeg21:a0019 | Advertentie
  1952/06/04 | Onze toekomst | p4 | ddd:011186221:mpeg21:a0013 | Advertentie
  1951/08/14 | Het Rotterdamsch parool | p3 | MMSARO02:164878089:mpeg21:a00060 | Dubbele onderscheiding voor Nederlandse Korea-troepen Majoor Christan de nieuwe commandant
  1952/01/25 | Eindhovensch dagblad | p6 | MMRHCE02:163603021:mpeg21:a00099 | Silver Star voor dapperheid in Korea.
  1960/03/12 | Nijmeegsch dagblad | p13 | MMRANM03:048419061:mpeg21:a00143 | Gregory Peck schittert in de film „Held van Pork Chop Hill”
  1955/07/29 | Emmer courant | p25 | MMGEM01:163345021:mpeg21:a00244 | Advertentie
  1952/01/30 | Emmer courant | p5 | MMGEM01:163339013:mpeg21:a00058 | Weer posthume onderscheidingen
  1951/08/14 | Zutphens dagblad voor de Graafschap en Veluwezoom | p6 | MMRAZ03:179299038:mpeg21:a00098 | Amerikaanse onderscheidingen voor Korea-detachement
  1955/07/29 | Emmer courant | p21 | MMGEM01:163345021:mpeg21:a00204 | Advertentie
  1951/10/11 | Winschoter courant | p7 | MMRHCG03:163541035:mpeg21:a00101 | Advertentie
  1951/01/08 | Provinciale Overijsselsche en Zwolsche courant | p6 | MMHCO02:163852006:mpeg21:a00086 | Advertentie
  1952/01/29 | Het Binnenhof | p3 | MMKB19:000379024:mpeg21:a00069 | „Silver Star” posthuum toegekend
  1951/08/04 | Het vaderland | p2 | MMKB19:000846030:mpeg21:a00017 | „SPANJE MOEILIJK IN ATLANTISCH PACT”
  1951/08/14 | Deventer dagblad | p5 | MMHCO02:163904088:mpeg21:a00074 | Amerikaanse onderscheidingen voor Korea-detachement
  1952/01/26 | 't Nieuws voor Kampen | p4 | MMSAK01:164710022:mpeg21:a00064 | Posthume Amerikaanse onderscheiding
  1951/08/14 | Nieuw Utrechtsch dagblad | p3 | MMKB27:017776038:mpeg21:a00053 | Dubbele onderscheiding voor Nederlandse Korea-troepen Majoor Christan de nieuwe commandant
  1955/09/15 | Trouw | p | ABCDDD:010819826:mpeg21:a0130 | Rarevaria
  1951/10/23 | Nieuwsblad van het Noorden | p2 | ddd:010679269:mpeg21:a0019 | Posthume onderscheiding voor wijlen kolonel Den Ouden
  1952/03/12 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p2 | ddd:010987853:mpeg21:a0033 | MINDER TOERISTENSCHEPEN
  1951/10/23 | Nieuwe Haarlemsche courant | p3 | MMNHA03:179264020:mpeg21:a00064 | Mevr. Den Ouden ontvangt de „Sil ver Star” Plechtigheid op Amerik. ambassade
  1952/02/18 | Overijsselsch dagblad | p5 | MMKB23:001257041:mpeg21:a00107 | Nog een actie In bittere koude
  1960/05/12 | De Telegraaf | p7 | ddd:110587691:mpeg21:a0227 | Korea
  1953/11/17 | Twentsch dagblad Tubantia | p2 | MMHCO02:163746188:mpeg21:a00035 | Met geweerkolf tegen bataljon Chinezen Hoge Amerikaanse onderscheiding voor Enschedese Kor
  1953/11/17 | Twentsch dagblad Tubantia | p2 | MMHCO02:163746184:mpeg21:a00026 | Met geweerkolf tegen bataljon Chinezen Hoge Amerikaanse onderscheiding voor Enschedese Kor
  1951/10/23 | Twentsche courant | p3 | MMCOLO01:280935097:mpeg21:a00040 | Onderscheiding aan mevr. den Ouden overhandigd
