QUERY: "krampachtige houding" AND date within "1947-06-01 1949-12-31" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "marshall eilanden" AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: "marshall-eilanden" AND date within "1948-01-01 1948-04-30" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: elsevier AND "raadsel van de zee" | collection: DDD_artikel | numberOfRecords: 1 
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven
1948/07/15 | Nieuwe Haarlemsche courant | p3 | MMNHA03:179236013:mpeg21:a00046 | Het zilveren feest van het Wit-Gele Kruis Kardinaal De Jong en Prins Bernhard woonden deel | Noord-Hollands Archief
1948/07/16 | Provinciale Noord-Brabantsche courant Het huisgezin | p1 | MMUBTB04:210850014:mpeg21:a00013 | Zilveren jubileum Wit-Gele Kruis Moge dit werk steeds in diepte groeien Pauselijke en koni | Tilburg University Library

QUERY: ourang AND date within "1947-01-01 1990-12-31" | collection: DDD_artikel | numberOfRecords: 14 
1948/01/24 | Leekster courant | p1 | MMRHCG04:235133008:mpeg21:a00006 | MYSTERIE, DAT DE ZEE NIMMER ZAL PRIJSGEVEN. | Groninger archieven
1948/02/03 | De locomotief : Samarangsch handels- en advertentie-blad | p3 | ddd:010862872:mpeg21:a0050 | Een Mysterie van de Zee Krampachtige Houding der Doden De Raadselachtige Ondergang van de  | Koninklijk Instituut voor de Tropen (KIT
1948/02/03 | De locomotief : Samarangsch handels- en advertentie-blad | p3 | ddd:010862872:mpeg21:a0051 | Het bleef stil | Koninklijk Instituut voor de Tropen (KIT
1948/02/28 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862918:mpeg21:a0033 | Ondergang der „Ourang Medan” „Voor het Eerst Werd ik Bang” De Enige Overlevende, Silvio Sc | Koninklijk Instituut voor de Tropen (KIT
1948/03/13 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862945:mpeg21:a0038 | S.O.S, | Koninklijk Instituut voor de Tropen (KIT
1948/02/28 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862918:mpeg21:a0034 | Het verhaal. | Koninklijk Instituut voor de Tropen (KIT
1989/08/10 | Trouw | p | ABCDDD:010827389:mpeg21:a0360 | WEEK AGENDA DONDERDAG 10 T/M WOENSDAG 16 AUGUSTUS Theater | Koninklijke Bibliotheek
1948/03/13 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862945:mpeg21:a0036 | Mysterie der „Ourang Medan” De Dodelijke Zwavelzuur-Gassen Doortrokken het Gehele Schip Fa | Koninklijk Instituut voor de Tropen (KIT
1948/02/28 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862918:mpeg21:a0035 | Langs een omweg. | Koninklijk Instituut voor de Tropen (KIT
1955/01/07 | Amigoe di Curacao : weekblad voor de Curacaosche eilanden | p2 | ddd:010404481:mpeg21:a0051 | PANORAMA | KB C 251
1948/02/28 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862918:mpeg21:a0036 | De fatale dag. | Koninklijk Instituut voor de Tropen (KIT
1957/05/09 | Het nieuwsblad voor Sumatra | p4 | ddd:010475758:mpeg21:a0074 | Advertentie | KB C 937
1989/07/13 | De Volkskrant | p | ABCDDD:010857261:mpeg21:a0063 | Advertentie | Koninklijke Bibliotheek
1980/02/22 | Het Parool | p | ABCDDD:010847468:mpeg21:a0288 | Den Haag | Koninklijke Bibliotheek

QUERY: "onrang medan" | collection: DDD_artikel | numberOfRecords: 0 

QUERY: medan AND "Marshall" AND date within "1947-06-01 1948-12-31" | collection: DDD_artikel | numberOfRecords: 80 
1947/09/15 | Helmondsche courant | p | MMRHCE01:000048979:mpeg21:a0008 | V.S. inaken zich bezorgd over situatie in Griekenland WARM PLEIDOOI VAN MARSHALL VOOR DE V | Regionaal Historisch Centrum Eindhoven
1947/07/10 | Nieuwe Haarlemsche courant | p3 | MMNHA03:179232009:mpeg21:a00063 | Mgr. Brans naar ons land | Noord-Hollands Archief
1948/02/28 | De locomotief : Samarangsch handels- en advertentie-blad | p2 | ddd:010862918:mpeg21:a0033 | Ondergang der „Ourang Medan” „Voor het Eerst Werd ik Bang” De Enige Overlevende, Silvio Sc | Koninklijk Instituut voor de Tropen (KIT
1947/07/24 | Groninger dagblad | p1 | MMRHCG04:235255172:mpeg21:a00001 | Militaire actie maakt snel voortgang Republikeinen zijn niet tot tegenstand in staat | Groninger archieven
1947/09/18 | De Nederlander | p1 | MMKB19:000080068:mpeg21:a00003 | Ver. Staten lid van de Commissie van Drie? | Koninklijke Bibliotheek
1948/02/03 | De locomotief : Samarangsch handels- en advertentie-blad | p3 | ddd:010862872:mpeg21:a0050 | Een Mysterie van de Zee Krampachtige Houding der Doden De Raadselachtige Ondergang van de  | Koninklijk Instituut voor de Tropen (KIT
1948/08/11 | Het nieuwsblad voor Sumatra | p4 | ddd:010474774:mpeg21:a0069 | Advertentie | KB C 937
1948/11/29 | Het nieuwsblad voor Sumatra | p4 | ddd:010474854:mpeg21:a0033 | Advertentie | KB C 937
1948/09/24 | Leeuwarder courant : hoofdblad van Friesland | p2 | ddd:010610435:mpeg21:a0044 | In kort bestek | KBDK
1947/07/25 | Zutphensch dagblad voor Achterhoek en Veluwezoom | p1 | MMRAZ03:179292171:mpeg21:a00011 | Soekarno’s beroep op Truman Mr. v. Kleffens sprak met Marshall | Regionaal Archief Zutphen
1948/03/15 | De Nederlander | p1 | MMKB19:000082063:mpeg21:a00001 | Plan-Marshall Door Senaat Goedgekeurd | Koninklijke Bibliotheek
1948/12/07 | De locomotief : Samarangsch handels- en advertentie-blad | p1 | ddd:010863114:mpeg21:a0025 | Korte berichten van overal | Koninklijk Instituut voor de Tropen (KIT
1947/09/09 | De Nederlander | p1 | MMKB19:000080060:mpeg21:a00007 | Dr van Mook sprak met Marshall en Lovett | Koninklijke Bibliotheek
1948/03/15 | De Maasbode | p1 | MMKB15:000554063:mpeg21:a00003 | Aangenomen door de Senaat | Koninklijke Bibliotheek
1947/09/18 | De Nederlandsche transportcourant | p1 | MMKB19:000824214:mpeg21:a00012 | Fiitsen uit het wereldnieuws | Koninklijke Bibliotheek
1947/09/18 | Nieuwe Haarlemsche courant | p1 | MMNHA03:179232068:mpeg21:a00005 | V.S. in Commissie van Drie? Consuls en waarnemers naar Djokja | Noord-Hollands Archief
1948/12/22 | Friesch dagblad | p | MMTRES02:000025068:mpeg21:a0005 | Vandaag vergadert de Veiligheidsraad Standpunt Amerika gamatigd - Dat van Engeland onbeken | Tresoar
1948/03/16 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije Twentsche courant | p | MMSAEN01:000069470:mpeg21:a0012 | Benelux stelt ervaring beschikbaar | Stadsarchief Enschede
1948/03/16 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije Twentsche courant | p | MMSAEN01:000069471:mpeg21:a0012 | Benelux stelt ervaring beschikbaar | Stadsarchief Enschede
1948/03/16 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije Twentsche courant | p | MMSAEN01:000069472:mpeg21:a0016 | Benelux stelt ervaring beschikbaar | Stadsarchief Enschede
1948/03/16 | Twentsch dagblad Tubantia en Enschedesche courant en Vrije Twentsche courant | p | MMSAEN01:000069469:mpeg21:a0016 | Benelux stelt ervaring beschikbaar | Stadsarchief Enschede
1947/09/08 | Friesch dagblad | p | MMTRES02:000023698:mpeg21:a0002 | Dr. Van Mook spreekt met Marshall | Tresoar
