QUERY: "orang medan" | collection: DDD_artikel | numberOfRecords: 8 
1841/06/02 | Nieuwe Surinaamsche courant | p1 | ddd:010670896:mpeg21:a0003 | Buitenlandsche Nieuwstijdingen. NEDERLANDEN. Amsterdam, 10 April. | KB C 135
1908/03/18 | De Peel- en Kempenbode | p | MMRHCE01:000051381:mpeg21:a0006 | ALLERLEI. NIET GEDACHT. | Regionaal Historisch Centrum Eindhoven
1907/06/08 | Het nieuws van den dag : kleine courant | p7 | ddd:010164611:mpeg21:a0121 | Buitenl. Havens. | KB C226
1907/01/22 | Het vaderland | p4 | MMKB23:001475052:mpeg21:a00052 | Advertentie | Koninklijke Bibliotheek
1842/01/22 | Rotterdamsche courant | p4 | ddd:010978905:mpeg21:a0014 | Advertentie | Koninklijke Bibliotheek C 46

QUERY: scherli | collection: DDD_artikel | numberOfRecords: 98 
1941/12/11 | Algemeen protestantsch dagblad | p4 | ddd:010937966:mpeg21:a0079 | EEN NIEUWE TOCHT WORDT VOORBEREID | Koninklijke Bibliotheek C 713
1962/03/02 | Het Rotterdamsch parool | p9 | MMSARO03:259017002:mpeg21:a00160 | Advertentie | Stadsarchief Rotterdam
1962/03/09 | Het vrĳe volk : democratisch-socialistisch dagblad | p19 | ddd:010953783:mpeg21:a0141 | Advertentie | Gemeentearchief Rotterdam
1941/06/04 | Oprechte Haarlemsche courant | p1 | ddd:110530303:mpeg21:a0011 | Op onze foto ziet men den kruiser „Gloucester", waarvan dezer dagen het verlies door Engel | KB C 37
1941/07/17 | Oprechte Haarlemsche courant | p3 | ddd:110530340:mpeg21:a0068 | Een arbeidersfamilie. zooals er honderden in alle dorpen der Sovjets voorkomen. Zij houdt  | KB C 37
1941/07/09 | Oprechte Haarlemsche courant | p5 | ddd:110530333:mpeg21:a0117 | Duitsche soldaten bij zuivering van een terrein van Sovjettroepen in de omgeving van een S | KB C 37
1941/06/13 | Oprechte Haarlemsche courant | p8 | ddd:110530311:mpeg21:a0172 | De voorgevel van een Londensch zakenpand wordt na een Duitsche vergeldingsaanva! op de Bri | KB C 37
1941/03/01 | Oprechte Haarlemsche courant | p3 | ddd:110531337:mpeg21:a0066 | In het Teatro Adriano te Rome heeft Mussolini een gnuite rede sehcuden. De Duce tisjschen  | KB C 37
1940/12/30 | Oprechte Haarlemsche courant | p3 | ddd:110530237:mpeg21:a0056 | In den Berlijnschen Zoo is een giraffe ge- | KB C 37
1940/10/02 | Oprechte Haarlemsche courant | p5 | ddd:110530265:mpeg21:a0056 | De nieuwste herfstmode. | KB C 37
1916/07/31 | Het vaderland | p2 | MMKB23:001522081:mpeg21:a00029 | DE CRISIS. De opgebrschte visschersschepen. | Koninklijke Bibliotheek
1940/09/29 | De Maasbode | p4 | ddd:110531103:mpeg21:a0118 | VER VERDWAALD Door het stormachtige weer der laatste dagen zijn over Zweden niet | KB C 61
1941/08/14 | Oprechte Haarlemsche courant | p1 | ddd:110530364:mpeg21:a0020 | Van de motorordonnansen, die aan het Oostelijk front hun werk verrichten, wordt veel gever | KB C 37
1941/05/03 | Oprechte Haarlemsche courant | p3 | ddd:110530278:mpeg21:a0080 | De haven van Athene. Piraeus. bleek, toen de Duitsche troepen daar aankwamen bezaaid te zi | KB C 37
1941/07/23 | Oprechte Haarlemsche courant | p7 | ddd:110530345:mpeg21:a0159 | Ook in Frankrijk geven vele menschen zich op voor het vrijwilligerslegioen tegen Sovjet Ru | KB C 37
1941/07/04 | Oprechte Haarlemsche courant | p5 | ddd:110530329:mpeg21:a0106 | Een van de 5774. Volgens het extra bericht van het opperbevel van gister.ivond zijn aan t  | KB C 37
1941/06/16 | Oprechte Haarlemsche courant | p1 | ddd:110530313:mpeg21:a0018 | Duitsch aanvallen op Hatfa.—Duitsche gevechtsvliegtuigen hebben dezer daaen aanvallen geda | KB C 37
1866/06/01 | Le courrier de la Meuse | p1 | MMCC01:048240126:mpeg21:a00008 | Une dépêche télégraphique de Francfort, | Centre Céramique
1942/09/02 | Nieuwe Apeldoornsche courant | p | MMCODA01:000159836:mpeg21:a0012 | Foto's: VNP-Landistend-Brusse-Pax Holland m:1: Ned. OmroepVermeuten-VNP-Pax | CODA Apeldoorn
1941/04/10 | De Amersfoortsche courant : dagblad voor Amersfoort en omstreken | p4 | ddd:010900600:mpeg21:a0024 | KORT VOOR DEN START VAN EEN VERKENNINGSVLIEGTUIG. — Op den zwaren kruiser wordt aan het vc | Archief Eemland
1941/06/11 | Oprechte Haarlemsche courant | p8 | ddd:110530309:mpeg21:a0150 | De 16.644 br. t. metende Britsche hulpkruiser „Baipoetana”. werd. nadat ze door twee torpe | KB C 37
1919/12/23 | Franeker courant | p4 | MMTRES04:211443170:mpeg21:a00034 | Advertentie | Tresoar
1934/07/25 | Soerabaijasch handelsblad | p16 | ddd:011107728:mpeg21:a0049 | Advertentie | Koninklijke Bibliotheek C 64
1885/02/09 | Utrechtsch provinciaal en stedelijk dagblad | p4 | MMUTRA04:253134040:mpeg21:a00028 | Advertentie | Het Utrechts Archief
1963/02/27 | Algemeen Dagblad | p | KBPERS01:002810049:mpeg21:a00124 | Advertentie | Koninklijke Bibliotheek
1942/09/24 | Noordbrabantsche courant | p4 | MMUBTB04:210814123:mpeg21:a00078 | Advertentie | Tilburg University Library
1942/03/21 | Oprechte Haarlemsche courant | p1 | ddd:110530632:mpeg21:a0013 | 't Is Lente. | KB C 37
1934/08/15 | Soerabaijasch handelsblad | p4 | ddd:011107746:mpeg21:a0017 | Advertentie | Koninklijke Bibliotheek C 64
1940/12/03 | Oprechte Haarlemsche courant | p3 | ddd:110530216:mpeg21:a0045 | Japansch succes in Hoepei. TERUGTREKKENDE CHINEEZEN VERLOREN 10.000 MAN. | KB C 37
1926/07/05 | Voorwaarts : sociaal-democratisch dagblad | p3 | ddd:010212214:mpeg21:a0083 | Rotterdam UIT DE HAVEN. | KB C 142
1918/11/27 | Rotterdamsch nieuwsblad | p1 | ddd:010297172:mpeg21:a0032 | Advertentie | KB C 420
1896/06/01 | Dagblad van Zuidholland en 's Gravenhage | p6 | MMKB19:003624054:mpeg21:a00041 | Advertentie | Koninklijke Bibliotheek
