QUERY: kortegolfzenders AND date within "1947-06-01 1948-12-31" | collection: DDD_artikel | numberOfRecords: 79 
1933/02/13 | Nieuwe Tilburgsche Courant | p5 | ddd:010236658:mpeg21:a0091 | De sommaties. | KB C1115
1933/02/13 | Leeuwarder courant | p1 | ddd:010605751:mpeg21:a0004 | Na zes sommaties viel de bom. | KBDK
1933/02/13 | Overijsselsch dagblad | p2 | MMKB23:001335094:mpeg21:a00022 | Na de overgave van „De Zeven Provinciën’' De Zeven Provinciën niet ernstig beschadigd. | Historisch Centrum Overijssel
1933/02/13 | Overijsselsch dagblad | p2 | MMKB23:001335095:mpeg21:a00022 | Na de overgave van „De Zeven Provinciën” De Zeven Provinciën niet ernstig beschadigd. | Historisch Centrum Overijssel
1936/10/10 | De Gooi- en Eemlander : nieuws- en advertentieblad | p2 | ddd:011172369:mpeg21:a0040 | In zwaar stormweer. | Koninklijke Bibliotheek MM03C-101526
1937/03/01 | De tribune : soc. dem. weekblad | p6 | ddd:010481726:mpeg21:a0083 | ... En verder | KB C 143
1933/02/13 | De banier : staatkundig gereformeerd dagblad | p2 | ddd:010853464:mpeg21:a0031 | Binnenland De bedwongen muiterij Acht en twintig Europeesche muiters in arrest | SGP-Bureau
1933/02/13 | Nieuwe Hengeloosche courant | p2 | MMGAHE01:234838019:mpeg21:a00022 | Het bombardement. | Gemeentearchief Hengelo
1933/02/13 | Dagblad van Noord-Brabant | p2 | MMKB23:001979011:mpeg21:a00016 | Na de onderdrukking der muiterij. Commandant van het bevel ontheven. Lijst der dooden en g | Tilburg University Library
1933/02/11 | De standaard | p9 | MMKB23:001908037:mpeg21:a00164 | Laatste Berichten. De overgave van „De Zeven Provinciën". HUT WERPEN VAN DEN BOM. | Universiteitsbibliotheek Vrije Universit
1937/03/04 | De locomotief | p13 | MMKB23:003479007:mpeg21:a00233 | CONTACT TOT CAIRO. | Universitaire Bibliotheken Leiden
1933/02/11 | Het volk : dagblad voor de arbeiderspartĳ | p1 | ddd:011117306:mpeg21:a0008 | Heesch Bom de witte vlag? | Koninklijke Bibliotheek NBM Mfm MMK 0033
1937/02/22 | Leeuwarder nieuwsblad : goedkoop advertentieblad | p1 | ddd:010743776:mpeg21:a0010 | RADIO-VERBINDING MET VLIEGTUIGEN. Nieuwe korte golf-installatie van de Rijksberichtendiens | Tresoar
1936/10/12 | De tribune : soc. dem. weekblad | p8 | ddd:010482409:mpeg21:a0119 | Met een brandend ruim in een orkaan De kapitein Dan de „Marmx vertelt Het schip te Genua a | KB C 143
