id	play_index	play_title	n_segments	n_words	n_verse_lines	n_prose_words
A27177	7	THE COXCOMBE.	5	20625	1320	10908
A27177	8	THE FALSE ONE. A TRAGEDY.	16	19192	2663	35
A27177	9	THE CHANCES.	24	15845	2486	67
A27177	10	THE LOYAL SVBIECT.	28	25310	3400	213
A27177	11	The Lavves of Candy.	6	15869	2396	36
A27177	12	THE LOVERS PROGRES.	5	20672	2872	277
A27177	13	THE ISLAND PRINCESSE.	5	22355	3007	35
A27177	14	The Humorous Lieutenant.	25	23918	3300	131
A27177	15	THE NICE VALOVR, OR, The Passionate Mad-man.	7	14192	1953	147
A27177	16	THE MAID IN THE MILL.	12	20789	2635	1614
A27177	17	THE PROPHETESSE.	18	18540	2567	58
A27177	18	THE TRAGEDIE OF BONDUCA	18	20196	2919	416
A27177	19	THE SEA VOYAGE	5	16812	2400	55
A27177	20	The double Marriage.	5	22845	3250	69
A27177	21	THE PILGRIM.	19	20911	2816	201
A27177	22	The Knight of Malta.	18	22834	3097	958
A27177	23	THE WOMANS PRIZE: OR, The Tamer Tamed.	23	22547	3253	541
A27177	24	LOVE CURE OR, The Martial Maid.	17	19590	2299	3672
A27177	25	The Honest mans Fortune.	5	22379	1829	8772
A27177	26	The Queene of Corinth,	16	20172	2815	378
A27177	27	VVomen pleas'd.	20	20325	2666	278
A27177	28	A VVife for a Moneth.	4	17108	2130	420
A27177	29	VVIT At severall VVeapons.	6	27116	2766	6331
A27177	30	THE TRAGEDIE OF VALENTINIAN.	21	24393	3410	57
A27177	31	THE FAIRE MAIDE OF THE INNE.	5	20420	2359	4137
A27177	32	LOVES PILGRIMAGE.	15	22401	3306	24
A27177	33	THE Maske of the Gentlemen of Grayes-Inne, and the Inner-Temple, Perfo	1	1278	173	0
A27177	34	FOVR PLAYES. OR Morall Representations, IN ONE.	1	20026	2480	2149
A27177	35	THE Wild-Goose-Chase.	16	21269	2865	98
A27178	0	THE MAIDS TRAGEDY	5	21666	2669	1252
A27178	1	PHILASTER OR, Love lies a Bleeding.	5	21350	2336	3837
A27178	2	A KING, and no KING.	5	25323	1675	12765
A27178	3	THE SCORNFUL LADY, A COMEDY.	5	22811	239	20978
A27178	4	The Custom of the Country.	9	22701	3174	0
A27178	5	THE ELDER BROTHER, A COMEDY.	17	18985	0	18985
A27178	6	THE SPANISH CURATE, A COMEDY.	21	22690	3106	299
A27178	7	WIT WITHOUT MONEY, A COMEDY.	5	19199	0	19199
A27178	8	BEGGARS BUSH, A COMEDY.	16	18925	2672	0
A27178	9	THE Humourous Lieutenant, A TRAGI-COMEDY.	25	23926	3285	197
A27178	10	THE Faithful Shepherdess.	5	19929	2710	220
A27178	11	THE MAD LOVER, A TRAGI-COMEDY.	5	18058	2760	1
A27178	12	THE LOYAL SUBJECT, A TRAGI-COMEDY.	28	25349	3427	0
A27178	13	Rule a Wife, and have a Wife.	5	18301	2411	0
A27178	14	The Laws of Candy. A TRAGI-COMEDY.	6	15895	2403	0
A27178	15	THE FALSE ONE. A TRAGEDY.	16	19180	2646	0
A27178	16	THE Little French Lawyer. A COMEDY.	5	20812	3030	0
A27178	17	THE TRAGEDY OF VALENTINIAN.	21	24415	3385	0
A27178	18	Monsieur Thomas. A COMEDY.	27	20704	3001	0
A27178	19	THE CHANCES. A COMEDY.	24	16104	2523	0
A27178	20	THE Bloody Brother; OR, ROLLO. A TRAGEDY.	11	19180	2482	329
A27178	21	THE Wild-Goose Chase; A COMEDY.	16	21299	2879	0
A27178	22	A Wife for a Month; A TRAGI-COMEDY.	5	21134	2641	135
A27178	23	THE LOVERS PROGRESS. A TRAGEDY.	5	20678	2892	134
A27178	24	THE PILGRIM. A COMEDY.	19	20911	2844	0
A27178	25	THE CAPTAIN. A COMEDY.	20	23890	3265	0
A27178	26	THE PROPHETESS. A Tragical History.	18	18621	2519	111
A27178	27	The Queen of Corinth, A TRAGI-COMEDY.	16	20275	2834	88
A27178	28	BONDUCA, A TRAGEDY.	16	16091	2412	83
A27178	29	The Knight of the Burning Pestle.	5	19695	1364	9297
A27178	30	Loves Pilgramage, a Comedy.	15	22368	3308	0
A27178	31	THE DOUBLE MARRIAGE. A Tragedy.	5	22819	3263	0
A27178	32	THE Maid in the Mill. A COMEDY.	12	20705	2645	1330
A27178	33	The Knight of Malta.	18	22954	3127	689
