route,waypoint,km_from_island,stades_177.6,stades_185,z_dem_m,lat,lon,source
R6v,Col de Larche,304.7,1716,1647,1996,44.4218328,6.8984272,Nominatim/OSM node/928715494 (yes)
R6v,Argentera,309.1,1741,1671,1730,44.3946,6.9375,Argentera village; commune centroid was at 2234 m (manual)
R6v,Pietraporzio,319.1,1797,1725,1234,44.3437676,7.0334623,Nominatim/OSM relation/43029 (administrative)
R6v,Vinadio,332.4,1872,1797,922,44.308,7.173,Vinadio village in the Stura valley; commune centroid was at 1975 m (manual)
R6v,Demonte,343.2,1932,1855,840,44.3243071,7.3033518,Nominatim/OSM relation/43012 (administrative)
R6v,Borgo San Dalmazzo,359.3,2023,1942,639,44.3286517,7.4874561,Nominatim/OSM node/63626393 (town)
R6v,Cuneo,367.7,2070,1987,540,44.389633,7.5479007,Nominatim/OSM relation/43083 (administrative)
R6v,Savigliano,397.3,2237,2148,321,44.644037,7.655929,Nominatim/OSM node/63625935 (town)
R6v,Carmagnola,420.4,2367,2273,245,44.8455856,7.7192711,Nominatim/OSM relation/43663 (administrative)
R6v,Turin,445.7,2510,2409,242,45.0677551,7.6824892,Nominatim/OSM relation/43992 (administrative)
R7,Island (i): Isere-Rhone confluence,0.0,0,0,111,44.985,4.855,confluence just north of Valence (manual)
R7,Vienne,62.5,352,338,174,45.52524,4.87477,Nominatim/OSM relation/169848 (administrative)
R7,Lyon,91.7,516,496,167,45.7578137,4.8320114,Nominatim/OSM relation/120965 (administrative)
R7,Bourgoin-Jallieu,131.9,743,713,253,45.5860438,5.2772265,Nominatim/OSM relation/78763 (administrative)
R7,Les Echelles,176.7,995,955,382,45.4355,5.7515,"Les Echelles, the Guiers gap on the Lyon-Chambery road (Col de Couz 627 m) (manual)"
R7,Chambery,197.1,1110,1065,281,45.5662672,5.9203636,Nominatim/OSM relation/74386 (administrative)
R7,Annecy,240.1,1352,1298,451,45.8992348,6.1288847,Nominatim/OSM relation/6791758 (administrative)
R7,Geneva,275.7,1552,1490,412,46.2017559,6.1466014,Nominatim/OSM relation/1685488 (administrative)
R7,Villeneuve (Vaud),344.2,1938,1860,379,46.3965712,6.9248129,Nominatim/OSM relation/1685193 (administrative)
R7,Saint-Maurice (Valais),365.0,2055,1973,420,46.2197694,7.0045193,Nominatim/OSM relation/2757524 (administrative)
R7,Martigny,379.2,2135,2049,475,46.103115,7.0727354,Nominatim/OSM relation/1685332 (administrative)
R7,Orsieres,396.0,2230,2141,888,46.0300676,7.1453627,Nominatim/OSM relation/1685351 (administrative)
R7,Bourg-Saint-Pierre,406.5,2289,2198,1645,45.9489252,7.2088271,Nominatim/OSM relation/1685281 (administrative)
R7,Col du Grand-Saint-Bernard,416.2,2344,2250,2472,45.8690526,7.1704088,Nominatim/OSM node/2001818936 (yes)
R7,Saint-Rhemy-en-Bosses,421.9,2376,2281,1536,45.8237439,7.1821889,Nominatim/OSM relation/46104 (administrative)
R7,Etroubles,425.8,2398,2302,1270,45.8205823,7.230574,Nominatim/OSM node/342444766 (village)
R7,Aosta,438.4,2468,2370,587,45.7373075,7.3204025,Nominatim/OSM relation/45916 (administrative)
R7,Chatillon (Aosta),461.7,2600,2496,519,45.7495,7.6155,Chatillon town on the Dora Baltea (manual)
R7,Pont-Saint-Martin,486.4,2739,2629,333,45.5975,7.797,Pont-Saint-Martin town (manual)
R7,Ivrea,504.6,2841,2727,227,45.451803,7.8932496,Nominatim/OSM relation/44971 (administrative)
R7,Chivasso,534.0,3007,2887,185,45.1898322,7.8860277,Nominatim/OSM relation/44385 (administrative)
R7,Turin,555.1,3126,3001,242,45.0677551,7.6824892,Nominatim/OSM relation/43992 (administrative)
