route,waypoint,km_from_island,stades_177.6,stades_185,z_dem_m,lat,lon,source
R4,Guillestre,254.4,1433,1375,1009,44.6597849,6.6493945,Nominatim/OSM relation/80451 (administrative)
R4,L'Argentiere-la-Bessee,271.7,1530,1469,975,44.7896878,6.5588696,Nominatim/OSM relation/75179 (administrative)
R4,Briancon,286.0,1610,1546,1314,44.8984037,6.6436313,Nominatim/OSM relation/85421 (administrative)
R4,Col de Montgenevre,293.7,1654,1588,1853,44.9312741,6.7257053,Nominatim/OSM node/442880977 (yes)
R4,Claviere,295.9,1666,1599,1766,44.9387991,6.7502942,Nominatim/OSM relation/43802 (administrative)
R4,Cesana Torinese,299.5,1686,1619,1352,44.9524431,6.7906727,Nominatim/OSM relation/43801 (administrative)
R4,Oulx,309.5,1743,1673,1082,45.0330519,6.83251,Nominatim/OSM relation/43955 (administrative)
R4,Exilles,320.0,1802,1730,880,45.0973834,6.9290646,Nominatim/OSM relation/44125 (administrative)
R4,Susa,331.0,1864,1789,505,45.1383808,7.0493387,Nominatim/OSM relation/44287 (administrative)
R4,Bussoleno,338.8,1907,1831,439,45.1392706,7.1477166,Nominatim/OSM relation/44134 (administrative)
R4,Sant'Ambrogio di Torino,356.7,2008,1928,354,45.099445,7.362315,Nominatim/OSM relation/44184 (administrative)
R4,Avigliana,360.5,2030,1949,373,45.0779435,7.3983904,Nominatim/OSM relation/44097 (administrative)
R4,Rivoli,370.1,2084,2001,360,45.0697151,7.5176764,Nominatim/OSM relation/44071 (administrative)
R4,Turin,383.4,2159,2072,242,45.0677551,7.6824892,Nominatim/OSM relation/43992 (administrative)
R4c,Island (ii): Aygues-Rhone confluence,0.0,0,0,29,44.12,4.73,Aygues (Eygues) mouth near Caderousse (manual)
R4c,Bollene,19.0,107,103,59,44.2803882,4.7484092,Nominatim/OSM relation/148135 (administrative)
R4c,Pierrelatte,30.8,173,166,62,44.3778474,4.6976609,Nominatim/OSM relation/70411 (administrative)
R4c,Montelimar,51.8,292,280,91,44.5579391,4.750318,Nominatim/OSM relation/70292 (administrative)
R4c,Loriol,74.4,419,402,122,44.7518413,4.822279,Nominatim/OSM relation/76921 (administrative)
R4c,Crest,91.1,513,492,194,44.7282675,5.0236641,Nominatim/OSM relation/84754 (administrative)
R4c,Saillans,105.9,596,572,271,44.6975415,5.1972501,Nominatim/OSM relation/18476605 (administrative)
R4c,Die,127.4,717,689,418,44.7533712,5.3689136,Nominatim/OSM relation/66441 (administrative)
R4c,Luc-en-Diois,144.5,814,781,566,44.6152,5.4517754,Nominatim/OSM relation/88556 (administrative)
R4c,Col de Cabre,161.1,907,871,1188,44.5495973,5.5983269,Nominatim/OSM node/1947205676 (yes)
R4c,La Beaume,164.2,925,888,894,44.5533503,5.6358252,Nominatim/OSM relation/937365 (administrative)
R4c,Aspres-sur-Buech,174.4,982,943,785,44.5219283,5.7502024,Nominatim/OSM relation/276325 (administrative)
R4c,Veynes,180.7,1018,977,838,44.5349009,5.8244718,Nominatim/OSM relation/556905 (administrative)
R4c,Gap,203.0,1143,1097,742,44.5612032,6.0820639,Nominatim/OSM relation/367142 (administrative)
R4c,Tallard,214.8,1209,1161,609,44.4618971,6.0550731,Nominatim/OSM relation/196622 (administrative)
R4c,Chorges,236.4,1331,1278,873,44.5450837,6.2754561,Nominatim/OSM relation/367132 (administrative)
R4c,Embrun,256.0,1442,1384,873,44.5641764,6.4958189,Nominatim/OSM relation/76329 (administrative)
R4c,Guillestre,274.1,1543,1481,1009,44.6597849,6.6493945,Nominatim/OSM relation/80451 (administrative)
R4c,L'Argentiere-la-Bessee,291.3,1640,1575,975,44.7896878,6.5588696,Nominatim/OSM relation/75179 (administrative)
R4c,Briancon,305.6,1721,1652,1314,44.8984037,6.6436313,Nominatim/OSM relation/85421 (administrative)
R4c,Col de Montgenevre,313.4,1764,1694,1853,44.9312741,6.7257053,Nominatim/OSM node/442880977 (yes)
R4c,Claviere,315.5,1777,1706,1766,44.9387991,6.7502942,Nominatim/OSM relation/43802 (administrative)
R4c,Cesana Torinese,319.1,1797,1725,1352,44.9524431,6.7906727,Nominatim/OSM relation/43801 (administrative)
R4c,Oulx,329.1,1853,1779,1082,45.0330519,6.83251,Nominatim/OSM relation/43955 (administrative)
R4c,Exilles,339.6,1912,1836,880,45.0973834,6.9290646,Nominatim/OSM relation/44125 (administrative)
R4c,Susa,350.6,1974,1895,505,45.1383808,7.0493387,Nominatim/OSM relation/44287 (administrative)
R4c,Bussoleno,358.4,2018,1937,439,45.1392706,7.1477166,Nominatim/OSM relation/44134 (administrative)
R4c,Sant'Ambrogio di Torino,376.3,2119,2034,354,45.099445,7.362315,Nominatim/OSM relation/44184 (administrative)
R4c,Avigliana,380.2,2141,2055,373,45.0779435,7.3983904,Nominatim/OSM relation/44097 (administrative)
R4c,Rivoli,389.8,2195,2107,360,45.0697151,7.5176764,Nominatim/OSM relation/44071 (administrative)
R4c,Turin,403.0,2269,2179,242,45.0677551,7.6824892,Nominatim/OSM relation/43992 (administrative)
R5,Island (ii): Aygues-Rhone confluence,0.0,0,0,29,44.12,4.73,Aygues (Eygues) mouth near Caderousse (manual)
R5,Avignon,20.7,117,112,31,43.9492493,4.8059012,Nominatim/OSM relation/102478 (administrative)
R5,Cavaillon,43.8,246,237,77,43.8356808,5.0383522,Nominatim/OSM relation/73936 (administrative)
R5,Pertuis,86.6,487,468,220,43.6951468,5.5032671,Nominatim/OSM relation/71963 (administrative)
R5,Manosque,115.1,648,622,393,43.8338026,5.7826657,Nominatim/OSM relation/365373 (administrative)
R5,Sisteron,161.2,908,871,490,44.1963467,5.9443791,Nominatim/OSM relation/186893 (administrative)
R5,Tallard,195.1,1099,1055,609,44.4618971,6.0550731,Nominatim/OSM relation/196622 (administrative)
R5,Chorges,216.7,1220,1172,873,44.5450837,6.2754561,Nominatim/OSM relation/367132 (administrative)
R5,Embrun,236.4,1331,1278,873,44.5641764,6.4958189,Nominatim/OSM relation/76329 (administrative)
R5,Guillestre,254.4,1433,1375,1009,44.6597849,6.6493945,Nominatim/OSM relation/80451 (administrative)
R5,Chateau-Ville-Vieille,272.9,1536,1475,1472,44.7624644,6.8114557,Nominatim/OSM relation/373028 (administrative)
R5,Aiguilles,277.9,1565,1502,1464,44.781105,6.8686622,Nominatim/OSM relation/373838 (administrative)
R5,Abries,283.0,1593,1529,1552,44.7940562,6.9279072,Nominatim/OSM node/285073587 (village)
R5,Ristolas,286.3,1612,1547,1616,44.7732742,6.9558493,Nominatim/OSM node/1872880875 (village)
R5,L'Echalp,289.7,1631,1566,1696,44.7581006,6.9928801,Nominatim/OSM node/3461978643 (platform)
R5,Refuge du Viso,298.3,1679,1612,2462,44.7004404,7.0514593,Nominatim/OSM way/181010670 (alpine_hut)
R5,Col de la Traversette,300.0,1689,1622,2912,44.7108916,7.0663531,Nominatim/OSM node/293467280 (yes)
R5,Pian del Re,302.7,1704,1636,2015,44.7006561,7.0960142,Nominatim/OSM node/2323029489 (locality)
R5,Crissolo,304.9,1717,1648,1827,44.7030562,7.119704,Nominatim/OSM relation/43463 (administrative)
R5,Paesana,317.3,1787,1715,920,44.6697772,7.2512548,Nominatim/OSM relation/43399 (administrative)
R5,Saluzzo,338.1,1904,1827,356,44.6446052,7.4926009,Nominatim/OSM node/63626805 (town)
R5,Carmagnola,366.8,2065,1983,245,44.8455856,7.7192711,Nominatim/OSM relation/43663 (administrative)
R5,Turin,392.1,2208,2119,242,45.0677551,7.6824892,Nominatim/OSM relation/43992 (administrative)
