n,word_hyphen_split,initial_hyphen_split,word_hyphen_joined,initial_hyphen_joined
548,laws,L,of,O
549,of,O,naturalization,N
550,naturalization,N,of,O
551,of,O,foreigners,F
552,foreigners,F,refusing,R
553,refusing,R,to,T
554,to,T,pass,P
555,pass,P,others,O
556,others,O,to,T
557,to,T,encourage,E
558,encourage,E,their,T
559,their,T,migration,M
560,migration,M,hither,H
561,hither,H,and,A
562,and,A,raising,R
563,raising,R,the,T
564,the,T,conditions,C
565,conditions,C,of,O
566,of,O,new,N
567,new,N,appropriations,A
568,appropriations,A,of,O
569,of,O,lands,L
570,lands,L,he,H
571,he,H,has,H
572,has,H,obstructed,O
573,obstructed,O,the,T
574,the,T,administration,A
575,administration,A,of,O
576,of,O,justice,J
577,justice,J,by,B
578,by,B,refusing,R
579,refusing,R,his,H
580,his,H,assent,A
581,assent,A,to,T
582,to,T,laws,L
583,laws,L,for,F
584,for,F,establishing,E
585,establishing,E,judiciary,J
586,judiciary,J,powers,P
587,powers,P,he,H
588,he,H,has,H
589,has,H,made,M
590,made,M,judges,J
591,judges,J,dependent,D
592,dependent,D,on,O
593,on,O,his,H
594,his,H,will,W
595,will,W,alone,A
596,alone,A,for,F
597,for,F,the,T
598,the,T,tenure,T
599,tenure,T,of,O
600,of,O,their,T
601,their,T,offices,O
602,offices,O,and,A
603,and,A,the,T
604,the,T,amount,A
605,amount,A,and,A
606,and,A,payment,P
607,payment,P,of,O
608,of,O,their,T
609,their,T,salaries,S
610,salaries,S,he,H
611,he,H,has,H
612,has,H,erected,E
613,erected,E,a,A
614,a,A,multitude,M
615,multitude,M,of,O
616,of,O,new,N
617,new,N,offices,O
618,offices,O,and,A
619,and,A,sent,S
620,sent,S,hither,H
621,hither,H,swarms,S
622,swarms,S,of,O
623,of,O,officers,O
624,officers,O,to,T
625,to,T,harass,H
626,harass,H,our,O
627,our,O,people,P
628,people,P,and,A
629,and,A,eat,E
630,eat,E,out,O
631,out,O,their,T
632,their,T,substance,S
633,substance,S,he,H
634,he,H,has,H
635,has,H,kept,K
636,kept,K,among,A
637,among,A,us,U
638,us,U,in,I
639,in,I,times,T
640,times,T,of,O
641,of,O,peace,P
642,peace,P,standing,S
643,standing,S,armies,A
644,armies,A,without,W
645,without,W,the,T
646,the,T,consent,C
647,consent,C,of,O
648,of,O,our,O
649,our,O,legislature,L
650,legislature,L,he,H
651,he,H,has,H
652,has,H,offered,O
653,offered,O,to,T
654,to,T,render,R
655,render,R,the,T
656,the,T,military,M
657,military,M,independent,I
658,independent,I,of,O
659,of,O,and,A
660,and,A,superior,S
661,superior,S,to,T
662,to,T,the,T
663,the,T,civil,C
664,civil,C,power,P
665,power,P,he,H
666,he,H,has,H
667,has,H,combined,C
668,combined,C,with,W
669,with,W,others,O
670,others,O,to,T
671,to,T,subject,S
672,subject,S,us,U
673,us,U,to,T
674,to,T,a,A
675,a,A,jurisdiction,J
676,jurisdiction,J,foreign,F
677,foreign,F,to,T
678,to,T,our,O
679,our,O,constitution,C
680,constitution,C,and,A
681,and,A,unacknowledged,U
682,unacknowledged,U,by,B
683,by,B,our,O
684,our,O,laws,L
685,laws,L,giving,G
686,giving,G,his,H
687,his,H,assent,A
688,assent,A,to,T
689,to,T,their,T
690,their,T,acts,A
691,acts,A,of,O
692,of,O,pretended,P
693,pretended,P,legislation,L
694,legislation,L,for,F
695,for,F,quartering,Q
696,quartering,Q,large,L
697,large,L,bodies,B
698,bodies,B,of,O
699,of,O,armed,A
700,armed,A,troops,T
701,troops,T,among,A
702,among,A,us,U
703,us,U,for,F
704,for,F,protecting,P
705,protecting,P,them,T
706,them,T,by,B
707,by,B,a,A
708,a,A,mock,M
709,mock,M,trial,T
710,trial,T,from,F
711,from,F,punishment,P
712,punishment,P,for,F
713,for,F,any,A
714,any,A,murders,M
715,murders,M,which,W
716,which,W,they,T
717,they,T,should,S
718,should,S,commit,C
719,commit,C,on,O
720,on,O,the,T
721,the,T,inhabitants,I
722,inhabitants,I,of,O
723,of,O,these,T
724,these,T,states,S
725,states,S,for,F
726,for,F,cutting,C
727,cutting,C,off,O
728,off,O,our,O
729,our,O,trade,T
730,trade,T,with,W
731,with,W,all,A
732,all,A,parts,P
733,parts,P,of,O
734,of,O,the,T
735,the,T,world,W
736,world,W,for,F
737,for,F,imposing,I
738,imposing,I,taxes,T
739,taxes,T,on,O
740,on,O,us,U
741,us,U,without,W
742,without,W,our,O
743,our,O,consent,C
744,consent,C,for,F
745,for,F,depriving,D
746,depriving,D,us,U
747,us,U,in,I
748,in,I,many,M
749,many,M,cases,C
750,cases,C,of,O
751,of,O,the,T
752,the,T,benefits,B
753,benefits,B,of,O
754,of,O,trial,T
755,trial,T,by,B
756,by,B,jury,J
757,jury,J,for,F
758,for,F,transporting,T
759,transporting,T,us,U
760,us,U,beyond,B
761,beyond,B,seas,S
762,seas,S,to,T
763,to,T,be,B
764,be,B,tried,T
765,tried,T,for,F
766,for,F,pretended,P
767,pretended,P,offences,O
768,offences,O,for,F
769,for,F,abolishing,A
770,abolishing,A,the,T
771,the,T,free,F
772,free,F,system,S
773,system,S,of,O
774,of,O,english,E
775,english,E,laws,L
776,laws,L,in,I
777,in,I,a,A
778,a,A,neighboring,N
779,neighboring,N,province,P
780,province,P,establishing,E
781,establishing,E,therein,T
782,therein,T,an,A
783,an,A,arbitrary,A
784,arbitrary,A,government,G
785,government,G,and,A
786,and,A,enlarging,E
787,enlarging,E,its,I
788,its,I,boundaries,B
789,boundaries,B,so,S
790,so,S,as,A
791,as,A,to,T
792,to,T,render,R
793,render,R,it,I
794,it,I,at,A
795,at,A,once,O
796,once,O,an,A
797,an,A,example,E
798,example,E,and,A
799,and,A,fit,F
800,fit,F,instrument,I
801,instrument,I,for,F
802,for,F,introducing,I
803,introducing,I,the,T
804,the,T,same,S
805,same,S,absolute,A
806,absolute,A,rule,R
807,rule,R,in,I
808,in,I,these,T
809,these,T,colonies,C
810,colonies,C,for,F
811,for,F,taking,T
812,taking,T,away,A
813,away,A,our,O
814,our,O,charters,C
815,charters,C,abolishing,A
816,abolishing,A,our,O
817,our,O,most,M
818,most,M,valuable,V
819,valuable,V,laws,L
820,laws,L,and,A
821,and,A,altering,A
822,altering,A,fundamentally,F
823,fundamentally,F,the,T
824,the,T,powers,P
825,powers,P,of,O
826,of,O,our,O
827,our,O,governments,G
828,governments,G,for,F
829,for,F,suspending,S
830,suspending,S,our,O
831,our,O,own,O
832,own,O,legislatures,L
833,legislatures,L,and,A
834,and,A,declaring,D
835,declaring,D,themselves,T
836,themselves,T,invested,I
837,invested,I,with,W
838,with,W,power,P
839,power,P,to,T
840,to,T,legislate,L
841,legislate,L,for,F
842,for,F,us,U
843,us,U,in,I
844,in,I,all,A
845,all,A,cases,C
846,cases,C,whatsoever,W
847,whatsoever,W,he,H
848,he,H,has,H
849,has,H,abdicated,A
850,abdicated,A,government,G
851,government,G,here,H
852,here,H,by,B
853,by,B,declaring,D
854,declaring,D,us,U
855,us,U,out,O
856,out,O,of,O
857,of,O,his,H
858,his,H,protection,P
859,protection,P,and,A
860,and,A,waging,W
861,waging,W,war,W
862,war,W,against,A
863,against,A,us,U
864,us,U,he,H
865,he,H,has,H
866,has,H,plundered,P
867,plundered,P,our,O
868,our,O,seas,S
869,seas,S,ravaged,R
870,ravaged,R,our,O
871,our,O,coasts,C
872,coasts,C,burnt,B
873,burnt,B,our,O
874,our,O,towns,T
875,towns,T,and,A
876,and,A,destroyed,D
877,destroyed,D,the,T
878,the,T,lives,L
879,lives,L,of,O
880,of,O,our,O
881,our,O,people,P
882,people,P,he,H
883,he,H,is,I
884,is,I,at,A
885,at,A,this,T
886,this,T,time,T
887,time,T,transporting,T
888,transporting,T,large,L
889,large,L,armies,A
890,armies,A,of,O
891,of,O,foreign,F
892,foreign,F,mercenaries,M
893,mercenaries,M,to,T
894,to,T,complete,C
895,complete,C,the,T
896,the,T,works,W
897,works,W,of,O
898,of,O,death,D
899,death,D,desolation,D
900,desolation,D,and,A
901,and,A,tyranny,T
902,tyranny,T,already,A
903,already,A,begun,B
904,begun,B,with,W
905,with,W,circumstances,C
906,circumstances,C,of,O
907,of,O,cruelty,C
908,cruelty,C,and,A
909,and,A,perfidy,P
910,perfidy,P,scarcely,S
911,scarcely,S,paralleled,P
912,paralleled,P,in,I
913,in,I,the,T
914,the,T,most,M
915,most,M,barbarous,B
916,barbarous,B,ages,A
917,ages,A,and,A
918,and,A,totally,T
919,totally,T,unworthy,U
920,unworthy,U,the,T
921,the,T,head,H
922,head,H,of,O
923,of,O,a,A
924,a,A,civilized,C
925,civilized,C,nation,N
926,nation,N,he,H
927,he,H,has,H
928,has,H,constrained,C
929,constrained,C,our,O
930,our,O,fellowcitizens,F
931,fellow,F,taken,T
932,citizens,C,captive,C
933,taken,T,on,O
934,captive,C,the,T
935,on,O,high,H
936,the,T,seas,S
937,high,H,to,T
938,seas,S,bear,B
939,to,T,arms,A
940,bear,B,against,A
941,arms,A,their,T
942,against,A,country,C
943,their,T,to,T
944,country,C,become,B
945,to,T,the,T
946,become,B,executioners,E
947,the,T,of,O
948,executioners,E,their,T
949,of,O,friends,F
950,their,T,and,A
951,friends,F,brethren,B
952,and,A,or,O
953,brethren,B,to,T
954,or,O,fall,F
955,to,T,themselves,T
956,fall,F,by,B
957,themselves,T,their,T
958,by,B,hands,H
959,their,T,he,H
960,hands,H,has,H
961,he,H,excited,E
962,has,H,domestic,D
963,excited,E,insurrections,I
964,domestic,D,amongst,A
965,insurrections,I,us,U
966,amongst,A,and,A
967,us,U,has,H
968,and,A,endeavored,E
969,has,H,to,T
970,endeavored,E,bring,B
971,to,T,on,O
972,bring,B,the,T
973,on,O,inhabitants,I
974,the,T,of,O
975,inhabitants,I,our,O
976,of,O,frontiers,F
977,our,O,the,T
978,frontiers,F,merciless,M
979,the,T,indian,I
980,merciless,M,savages,S
981,indian,I,whose,W
982,savages,S,known,K
983,whose,W,rule,R
984,known,K,of,O
985,rule,R,warfare,W
986,of,O,is,I
987,warfare,W,an,A
988,is,I,undistinguished,U
989,an,A,destruction,D
990,undistinguished,U,of,O
991,destruction,D,all,A
992,of,O,ages,A
993,all,A,sexes,S
994,ages,A,and,A
995,sexes,S,conditions,C
996,and,A,in,I
997,conditions,C,every,E
998,in,I,stage,S
999,every,E,of,O
1000,stage,S,these,T
1001,of,O,oppressions,O
1002,these,T,we,W
1003,oppressions,O,have,H
1004,we,W,petitioned,P
1005,have,H,for,F
1006,petitioned,P,redress,R
1007,for,F,in,I
1008,redress,R,the,T
1009,in,I,most,M
1010,the,T,humble,H
1011,most,M,terms,T
1012,humble,H,our,O
1013,terms,T,repeated,R
1014,our,O,petitions,P
1015,repeated,R,have,H
1016,petitions,P,been,B
1017,have,H,answered,A
1018,been,B,only,O
1019,answered,A,by,B
1020,only,O,repeated,R
1021,by,B,injury,I
1022,repeated,R,a,A
1023,injury,I,prince,P
1024,a,A,whose,W
1025,prince,P,character,C
1026,whose,W,is,I
1027,character,C,thus,T
1028,is,I,marked,M
1029,thus,T,by,B
1030,marked,M,every,E
1031,by,B,act,A
1032,every,E,which,W
1033,act,A,may,M
1034,which,W,define,D
1035,may,M,a,A
1036,define,D,tyrant,T
1037,a,A,is,I
1038,tyrant,T,unfit,U
1039,is,I,to,T
1040,unfit,U,be,B
1041,to,T,the,T
1042,be,B,ruler,R
1043,the,T,of,O
1044,ruler,R,a,A
1045,of,O,free,F
1046,a,A,people,P
