word,count,proper,pre1822_mean,pre1822_years,first_year,mean_1822_49,mean_1850_1900,ratio_pre1822_to_1850_1900
character,6,,2.404e-04,42,1780,3.360e-04,2.550e-04,0.943
charge,2,,1.148e-04,42,1780,1.257e-04,1.595e-04,0.720
charities,1,,2.830e-06,40,1780,4.620e-06,7.129e-06,0.397
charm,1,,1.026e-05,42,1780,1.506e-05,1.556e-05,0.659
charms,1,,1.881e-05,42,1780,1.568e-05,8.713e-06,2.159
checquered,1,,1.263e-07,29,1780,5.797e-08,1.688e-08,7.487
cheering,1,,2.793e-06,39,1780,7.279e-06,4.702e-06,0.594
chief,1,proper,1.786e-04,42,1780,1.425e-04,1.575e-04,1.134
church,1,proper,3.576e-04,42,1780,3.991e-04,3.435e-04,1.041
circle,2,,3.509e-05,42,1780,4.230e-05,3.987e-05,0.880
circulate,1,,3.030e-06,42,1780,4.046e-06,2.996e-06,1.011
circulation,1,,2.119e-05,42,1780,3.753e-05,4.400e-05,0.482
circumstances,3,,1.958e-04,42,1780,2.012e-04,1.387e-04,1.412
city,1,,3.057e-04,42,1780,3.389e-04,5.155e-04,0.593
civilization,1,,8.966e-06,41,1780,2.119e-05,3.173e-05,0.283
claimants,1,,7.330e-06,40,1781,8.844e-06,9.623e-06,0.762
claims,1,,7.808e-05,42,1780,1.048e-04,1.177e-04,0.663
classes,1,,2.982e-05,42,1780,5.584e-05,6.805e-05,0.438
clay,1,proper,2.594e-05,42,1780,4.541e-05,4.536e-05,0.572
clearer,1,,4.011e-06,42,1780,4.620e-06,5.490e-06,0.731
closely,1,,2.123e-05,42,1780,2.686e-05,4.055e-05,0.524
clue,2,,1.977e-06,40,1780,2.246e-06,2.593e-06,0.762
coles,1,proper,2.970e-06,33,1786,2.459e-06,1.369e-06,2.169
comfortable,1,,1.592e-05,42,1780,1.740e-05,1.830e-05,0.870
comfortably,1,,3.088e-06,40,1780,3.723e-06,4.430e-06,0.697
comforts,1,,1.103e-05,42,1780,1.444e-05,6.827e-06,1.616
commence,2,,2.264e-05,42,1780,2.533e-05,2.035e-05,1.112
commenced,2,,3.905e-05,42,1780,6.991e-05,6.445e-05,0.606
committing,1,,9.750e-06,42,1780,8.172e-06,6.198e-06,1.573
communicate,1,,2.938e-05,42,1780,2.420e-05,1.467e-05,2.003
