# We Proceeded On (Lewis and Clark Trail Heritage Foundation quarterly) — index of items whose article text/title/author matched death-related search terms, built 2026-09-14 from the WPO search engine at https://lewisandclark.org/search-wpo/ (POST search1=<term>&type1=<Article Text|Article Titles|Authors>).
# Columns: status (OPEN = PDF online at https://lewisandclark.org<href>; PRINT = issue younger than one year, print only) | href | citation as given by the index | search terms that matched (t:=article text, ti:=title, a:=author)
status	href	citation	matched_terms
OPEN	/wpo/pdf/vol8no3.pdf#page=8	"A Lewis and Clark Sculpture in Glass," July 1982, Vol.8 No. 3, Page 8.	t:Chuinard
OPEN	/wpo/pdf/vol8no3.pdf#page=15	"In The Next Issue," July 1982, Vol.8 No. 3, Page 15.	t:Chuinard
OPEN	/wpo/pdf/vol8no4.pdf#page=6	"Attendees (Members & Guests) 14th Annual Meeting," November 1982, Vol.8 No. 4, Page 6.	t:Chuinard
OPEN	/wpo/pdf/vol8no4.pdf#page=8	"Cameras Record Events At 14th Annual Meeting In Philadelphia," November 1982, Vol.8 No. 4, Page 8.	t:Chuinard
OPEN	/wpo/pdf/vol8no4.pdf#page=12	E.G. 'Frenchy' Chuinard, "The Court-Martial of Ensign Meriwether Lewis (Some Observations Related to the Court-Martial of the Expedition's Private Newman)," November 1982, Vol.8 No. 4, Page 12.	a:Chuinard
OPEN	/wpo/pdf/vol8no4.pdf#page=17	"Chuinards' Extended Loan Agreement Places Lewis & Clark Collection In College Library," November 1982, Vol.8 No. 4, Page 17.	t:Chuinard
OPEN	/wpo/pdf/vol9no2.pdf#page=4	Paul R. Cutright, "Cleome integrifolia the Third," May/June 1983, Vol.9 No. 2, Page 4.	a:Cutright,t:Chuinard
OPEN	/wpo/pdf/vol9no2.pdf#page=15	"Recent Meetings," May/June 1983, Vol.9 No. 2, Page 15.	t:Chuinard
OPEN	/wpo/pdf/vol9no2.pdf#page=16	"News Note," May/June 1983, Vol.9 No. 2, Page 16.	t:Chuinard
OPEN	/wpo/pdf/vol9no2.pdf#page=17	"Oregon's Lewis & Clark College Receives NEH Grant For 15 Month Program 'Perspectives on our Past' Foundation Members To Participate in Program," May/June 1983, Vol.9 No. 2, Page 17.	t:Chuinard
OPEN	/wpo/pdf/vol9no2.pdf#page=18	"Foundation Personalities: Viola ('Vi') and Ray Forrest," May/June 1983, Vol.9 No. 2, Page 18.	t:Chuinard
OPEN	/wpo/pdf/vol9no2.pdf#page=20	Robert E. Lange, "Foundation Member Randall Kidd Shares a Letter from his L. & C. Collection, Historian Hosmer Writes a Letter: Historian Quaitfe Edits Ordway's Journal," May/June 1983, Vol.9 No. 2, Page 20.	t:Chuinard
OPEN	/wpo/pdf/vol9no3.pdf#page=4	E.G. 'Frenchy' Chuinard, "The Lost is Found! A Postscript To Only One Man Died," August 1983, Vol.9 No. 3, Page 4.	a:Chuinard,t:Chuinard
OPEN	/wpo/pdf/vol9no4.pdf#page=1	Arlen J. Large, "President Large's Message," November 1983, Vol.9 No. 4, Page 1.	t:Chuinard
OPEN	/wpo/pdf/vol9no4.pdf#page=5	"Recent Meetings," November 1983, Vol.9 No. 4, Page 5.	t:Chuinard
OPEN	/wpo/pdf/vol9no4.pdf#page=11	"Oregon-California Trails Preservation-Interpretation Purpose of New Organization And Subject of New Magazine," November 1983, Vol.9 No. 4, Page 11.	t:Chuinard
OPEN	/wpo/pdf/vol9no4.pdf#page=13	"Fifteenth Annual Meeting Attendees," November 1983, Vol.9 No. 4, Page 13.	t:Chuinard
OPEN	/wpo/pdf/vol9no4.pdf#page=20	Charles C. (Chris) Patton, "Letter to the Editor From Director Patton," November 1983, Vol.9 No. 4, Page 20.	t:Chuinard
OPEN	/wpo/pdf/vol10no1.pdf#page=3	"Oregon College Program Features Foundation Member-Scholars," February 1984, Vol.10 No. 1, Page 3.	t:Chuinard
OPEN	/wpo/pdf/vol10no1.pdf#page=8	Paul R. Cutright, "The Journal of Captain Meriwether Lewis: Some Observations Concerning the Journal Hiatuses of Captain Lewis," February 1984, Vol.10 No. 1, Page 8.	a:Cutright
OPEN	/wpo/pdf/vol10no2.pdf#page=7	"Charter Bus Tour To the Columbia River Estuary," May 1984, Vol.10 No. 2, Page 7.	t:Chuinard
OPEN	/wpo/pdf/vol10no2.pdf#page=9	Paul R. Cutright, "A History of Lewis's Woodpecker and Clark's Nutcracker," May 1984, Vol.10 No. 2, Page 9.	a:Cutright,t:Alexander Wilson
OPEN	/wpo/pdf/vol10no2.pdf#page=16	"Recent Meetings," May 1984, Vol.10 No. 2, Page 16.	t:Chuinard
OPEN	/wpo/pdf/vol10no2.pdf#page=17	Virginia Holmgren, "Birds of the Lewis and Clark Journals," May 1984, Vol.10 No. 2, Page 17.	t:Alexander Wilson
OPEN	/wpo/pdf/vol10no2.pdf#page=28	Virginia Holmgren, "A Glossary of Bird Names Cited by Lewis and Clark," May 1984, Vol.10 No. 2, Page 28.	t:Alexander Wilson
OPEN	/wpo/pdf/vol10no4.pdf#page=13	"Sixteenth Annual Meeting Attendees," November 1984, Vol.10 No. 4, Page 13.	t:Chuinard
OPEN	/wpo/pdf/vol10no4.pdf#page=19	Malcolm S. Buffum, "From Sea to Shining Sea (Book Review)," November 1984, Vol.10 No. 4, Page 19.	t:Wilkinson
